LandisData	EcoregionDiameterTable


>>Ecoregion	Species	Age	Diameter
212J abiebals 1 2.54
212J abiebals 1 3.064
212J abiebals 2 3.588
212J abiebals 3 4.112
212J abiebals 4 4.636
212J abiebals 5 5.16
212J abiebals 6 6.201
212J abiebals 7 7.241
212J abiebals 8 8.281
212J abiebals 9 9.589
212J abiebals 10 10.897
212J abiebals 11 12.402
212J abiebals 12 13.906
212J abiebals 13 14.94
212J abiebals 14 15.974
212J abiebals 15 17.007
212J abiebals 16 18.041
212J abiebals 17 19.075
212J abiebals 18 20.109
212J abiebals 19 21.143
212J abiebals 20 22.176
212J abiebals 21 23.21
212J abiebals 22 24.244
212J abiebals 23 25.278
212J abiebals 24 26.312
212J abiebals 25 27.345
212J abiebals 26 28.379
212J abiebals 27 29.413
212J abiebals 28 30.447
212J abiebals 29 31.481
212J abiebals 30 32.514
212J abiebals 31 33.548
212J abiebals 32 34.582
212J abiebals 33 35.616
212J abiebals 34 36.65
212J abiebals 35 37.683
212J abiebals 36 38.717
212J abiebals 37 39.751
212J abiebals 38 40.785
212J abiebals 39 41.819
212J abiebals 40 42.852
212J abiebals 41 43.886
212J abiebals 42 44.92
212J larilari 1 2.54
212J larilari 1 2.709
212J larilari 2 2.879
212J larilari 3 3.048
212J larilari 4 3.217
212J larilari 5 3.387
212J larilari 6 3.556
212J larilari 7 3.725
212J larilari 8 3.895
212J larilari 9 4.064
212J larilari 10 4.233
212J larilari 11 4.403
212J larilari 12 4.572
212J larilari 13 4.741
212J larilari 14 4.911
212J larilari 15 5.08
212J larilari 16 5.249
212J larilari 17 5.63
212J larilari 18 6.011
212J larilari 19 6.392
212J larilari 20 6.773
212J larilari 21 7.154
212J larilari 22 7.535
212J larilari 23 7.916
212J larilari 24 8.297
212J larilari 25 8.678
212J larilari 26 9.059
212J larilari 27 9.44
212J larilari 28 9.821
212J larilari 29 10.202
212J larilari 30 11.472
212J larilari 31 12.742
212J larilari 32 13.267
212J larilari 33 13.793
212J larilari 34 14.318
212J larilari 35 14.843
212J larilari 36 15.368
212J larilari 37 15.893
212J larilari 38 16.418
212J larilari 39 16.944
212J larilari 40 17.469
212J larilari 41 17.994
212J larilari 42 18.173
212J larilari 43 18.352
212J larilari 44 18.531
212J larilari 45 18.71
212J larilari 46 18.889
212J larilari 47 19.068
212J larilari 48 19.247
212J larilari 49 19.426
212J larilari 50 19.605
212J larilari 51 19.784
212J larilari 52 19.963
212J larilari 53 20.142
212J larilari 54 20.321
212J larilari 55 20.5
212J larilari 56 20.679
212J larilari 57 20.858
212J larilari 58 21.037
212J larilari 59 21.216
212J larilari 60 21.395
212J larilari 61 21.574
212J larilari 62 21.753
212J larilari 63 21.932
212J larilari 64 22.111
212J larilari 65 22.29
212J larilari 66 22.469
212J larilari 67 22.648
212J larilari 68 22.827
212J larilari 69 23.006
212J larilari 70 23.185
212J larilari 71 23.364
212J larilari 72 23.543
212J larilari 73 23.722
212J larilari 74 23.901
212J larilari 75 24.08
212J larilari 76 24.259
212J larilari 77 24.438
212J larilari 78 24.617
212J larilari 79 24.796
212J larilari 80 24.975
212J larilari 81 25.154
212J larilari 82 25.333
212J larilari 83 25.512
212J larilari 84 25.691
212J larilari 85 25.87
212J larilari 86 26.049
212J larilari 87 26.228
212J larilari 88 26.407
212J larilari 89 26.586
212J larilari 90 26.765
212J larilari 91 26.944
212J larilari 92 27.123
212J larilari 93 27.301
212J larilari 94 27.48
212J larilari 95 27.659
212J larilari 96 27.838
212J larilari 97 28.017
212J larilari 98 28.332
212J larilari 99 28.646
212J larilari 100 28.961
