LandisData	DensitySpeciesParameters


DensitySpeciesParameters	SpType		BiomassClass		MaxDia		MaxSDI		TotalSeed		CarbonCoef
abiebals 1 15 9999 655 0	0.5
larilari 1 13 9999 387 0    0.5
piceglau 1 18 9999 412 0    0.5
picemari 1 18 9999 500 0    0.5
pinubank 1 17 9999 356 0    0.5
pinuresi 1 17 9999 505 0    0.5
pinustro 1 17 9999 529 0    0.5
thujocci 1 12 9999 771 0    0.5
tsugcana 1 16 9999 510 0    0.5
acernegu 0 5 9999 344 0     0.5
acerrubr 0 5 9999 421 0     0.5
acersacc 0 8 9999 371 0     0.5
betualle 0 6 9999 369 0     0.5
betupapy 0 6 9999 466 0     0.5
carycord 0 9 9999 301 0     0.5
caryovat 0 9 9999 302 0     0.5
fraxamer 0 7 9999 408 0     0.5
fraxnigr 0 7 9999 423 0     0.5
fraxpenn 0 7 9999 414 0     0.5
ostrvirg 0 7 9999 304 0     0.5
popugran 0 1 9999 520 0     0.5
poputrem 0 1 9999 562 0     0.5
prunsero 0 7 9999 384 0     0.5
queralba 0 11 9999 361 0    0.5
querelli 0 11 9999 336 0    0.5
quermacr 0 11 9999 423 0    0.5
querrubr 0 11 9999 414 0    0.5
quervelu 0 11 9999 370 0    0.5
tiliamer 0 7 9999 526 0     0.5
ulmuamer 0 7 9999 282 0     0.5
L_Tohard 0 8 9999 371 0     0.5
L_Toconi 1 15 9999 655 0    0.5
L_Inhard 0 1 9999 562 0     0.5
L_Inconi 1 17 9999 505 0    0.5
S_Tohard 0 7 9999 304 0     0.5
S_Inhard 0 7 9999 463 0     0.5
