...1,KEY,STATECD,COUNTYCD,PLOT,t0,t1,t2,t3,N_REM,CONDITION,subplot_list,SUBKEY
1,55_1_10349,55,1,10349,2004,2009,2014,0,3,F,4312,55_1_10349_2004_4
2,55_1_10350,55,1,10350,2004,2009,2014,0,3,F,2413,55_1_10350_2004_2
5,55_1_20001,55,1,20001,2001,2006,2011,2017,4,F,2143,55_1_20001_2001_2
6,55_1_20007,55,1,20007,2002,2007,2012,2018,4,F,4321,55_1_20007_2002_4
7,55_1_20012,55,1,20012,2004,2009,2015,0,3,F,3124,55_1_20012_2004_3
8,55_1_20026,55,1,20026,2001,2006,2011,2017,4,F,2413,55_1_20026_2001_2
9,55_1_20029,55,1,20029,2001,2006,2011,2018,4,F,3412,55_1_20029_2001_3
10,55_1_20032,55,1,20032,2000,2005,2010,2016,4,M,3241,55_1_20032_2000_3
11,55_1_20040,55,1,20040,2000,2005,2010,2016,4,F,4213,55_1_20040_2000_4
13,55_1_20060,55,1,20060,2002,2007,2012,2018,4,F,2341,55_1_20060_2002_2
14,55_1_20061,55,1,20061,2003,2008,2013,0,3,M,1432,55_1_20061_2003_1
15,55_1_20069,55,1,20069,2000,2005,2010,2015,4,F,2134,55_1_20069_2000_2
16,55_1_20071,55,1,20071,2000,2005,2010,2015,4,F,4231,55_1_20071_2000_4
17,55_1_20077,55,1,20077,2001,2006,2011,2018,4,F,2314,55_1_20077_2001_2
19,55_1_20092,55,1,20092,2000,2005,2010,2016,4,F,3241,55_1_20092_2000_3
20,55_1_20095,55,1,20095,2003,2008,2013,0,3,F,1342,55_1_20095_2003_1
21,55_1_20103,55,1,20103,2001,2006,2011,2017,4,F,1243,55_1_20103_2001_1
22,55_1_20106,55,1,20106,2000,2005,2010,2015,4,F,4132,55_1_20106_2000_4
23,55_1_20122,55,1,20122,2001,2006,2011,2018,4,M,4123,55_1_20122_2001_4
24,55_1_20123,55,1,20123,2004,2009,2014,0,3,M,4312,55_1_20123_2004_4
25,55_1_20125,55,1,20125,2004,2009,2015,0,3,M,2341,55_1_20125_2004_2
26,55_1_20127,55,1,20127,2002,2007,2012,2019,4,M,2431,55_1_20127_2002_2
27,55_1_20128,55,1,20128,2004,2009,2014,0,3,F,1423,55_1_20128_2004_1
28,55_1_20130,55,1,20130,2001,2006,2011,2017,4,F,1234,55_1_20130_2001_1
29,55_1_20133,55,1,20133,2003,2008,2013,0,3,F,2413,55_1_20133_2003_2
30,55_1_20149,55,1,20149,2003,2008,2013,0,3,M,3421,55_1_20149_2003_3
31,55_1_20153,55,1,20153,2003,2008,2013,0,3,M,1234,55_1_20153_2003_1
32,55_1_20162,55,1,20162,2003,2008,2013,0,3,M,1342,55_1_20162_2003_1
33,55_1_20165,55,1,20165,2004,2009,2014,0,3,F,2431,55_1_20165_2004_2
34,55_1_20166,55,1,20166,2004,2009,2014,0,3,M,1432,55_1_20166_2004_1
35,55_1_20168,55,1,20168,2002,2007,2012,2018,4,M,2431,55_1_20168_2002_2
36,55_1_20179,55,1,20179,2000,2005,2010,2016,4,F,3241,55_1_20179_2000_3
37,55_1_20184,55,1,20184,2001,2006,2011,2017,4,F,2341,55_1_20184_2001_2
38,55_1_20193,55,1,20193,2001,2006,2011,2016,4,F,3412,55_1_20193_2001_3
39,55_1_20196,55,1,20196,2000,2005,2010,2016,4,F,4321,55_1_20196_2000_4
40,55_1_20204,55,1,20204,2001,2006,2011,2017,4,F,2413,55_1_20204_2001_2
41,55_1_20207,55,1,20207,2003,2008,2013,0,3,F,2143,55_1_20207_2003_2
42,55_1_20208,55,1,20208,2003,2008,2013,2019,4,F,1324,55_1_20208_2003_1
43,55_1_20210,55,1,20210,2003,2008,2013,2019,4,M,4312,55_1_20210_2003_4
44,55_1_20215,55,1,20215,2003,2008,2013,0,3,F,4321,55_1_20215_2003_4
45,55_1_20227,55,1,20227,2004,2009,2014,0,3,F,4132,55_1_20227_2004_4
46,55_1_20229,55,1,20229,2004,2009,2014,0,3,F,2134,55_1_20229_2004_2
47,55_1_20232,55,1,20232,2004,2009,2014,0,3,M,2431,55_1_20232_2004_2
48,55_1_20234,55,1,20234,2001,2006,2011,2017,4,F,1342,55_1_20234_2001_1
49,55_1_20237,55,1,20237,2001,2006,2011,2017,4,F,1432,55_1_20237_2001_1
51,55_1_20246,55,1,20246,2000,2005,2010,2015,4,F,2413,55_1_20246_2000_2
52,55_1_20248,55,1,20248,2004,2009,2014,0,3,F,3421,55_1_20248_2004_3
53,55_1_20249,55,1,20249,2001,2006,2011,2016,4,F,2341,55_1_20249_2001_2
55,55_1_20251,55,1,20251,2001,2006,2011,2017,4,M,3421,55_1_20251_2001_3
56,55_1_20252,55,1,20252,2004,2009,2015,0,3,F,3421,55_1_20252_2004_3
57,55_1_20253,55,1,20253,2002,2007,2012,2019,4,F,3124,55_1_20253_2002_3
58,55_1_20255,55,1,20255,2002,2007,2012,2019,4,F,2413,55_1_20255_2002_2
59,55_1_20257,55,1,20257,2002,2007,2012,2019,4,M,4321,55_1_20257_2002_4
60,55_1_20259,55,1,20259,2000,2005,2010,2015,4,F,1423,55_1_20259_2000_1
61,55_1_20262,55,1,20262,2000,2005,2010,2015,4,F,3421,55_1_20262_2000_3
62,55_1_20264,55,1,20264,2000,2005,2010,2015,4,F,3412,55_1_20264_2000_3
63,55_1_20265,55,1,20265,2000,2005,2010,2016,4,F,1423,55_1_20265_2000_1
64,55_1_20266,55,1,20266,2000,2005,2010,2016,4,F,4132,55_1_20266_2000_4
65,55_1_20267,55,1,20267,2000,2005,2010,2016,4,F,1423,55_1_20267_2000_1
66,55_1_20268,55,1,20268,2001,2006,2011,2017,4,F,3142,55_1_20268_2001_3
68,55_1_20271,55,1,20271,2001,2006,2011,2016,4,F,4213,55_1_20271_2001_4
69,55_1_20272,55,1,20272,2001,2006,2011,2017,4,F,2413,55_1_20272_2001_2
70,55_1_20273,55,1,20273,2001,2006,2011,2017,4,F,2413,55_1_20273_2001_2
72,55_1_20277,55,1,20277,2001,2006,2011,2017,4,F,4123,55_1_20277_2001_4
73,55_1_20291,55,1,20291,2002,2007,2012,2018,4,M,1423,55_1_20291_2002_1
74,55_1_20292,55,1,20292,2002,2007,2012,2018,4,F,2413,55_1_20292_2002_2
75,55_1_20293,55,1,20293,2002,2007,2012,2018,4,M,2314,55_1_20293_2002_2
76,55_1_20295,55,1,20295,2002,2007,2012,2018,4,F,4312,55_1_20295_2002_4
77,55_1_20299,55,1,20299,2002,2007,2012,2019,4,F,1234,55_1_20299_2002_1
78,55_1_20300,55,1,20300,2002,2007,2012,2019,4,F,1243,55_1_20300_2002_1
79,55_1_20303,55,1,20303,2003,2008,2013,0,3,F,2134,55_1_20303_2003_2
81,55_1_20307,55,1,20307,2003,2008,2013,0,3,F,4123,55_1_20307_2003_4
82,55_1_20311,55,1,20311,2003,2008,2013,0,3,F,4132,55_1_20311_2003_4
83,55_1_20312,55,1,20312,2003,2008,2013,0,3,F,3421,55_1_20312_2003_3
84,55_1_20315,55,1,20315,2003,2008,2013,0,3,M,1342,55_1_20315_2003_1
87,55_1_20336,55,1,20336,2004,2009,2015,0,3,F,2134,55_1_20336_2004_2
88,55_1_20337,55,1,20337,2004,2009,2014,0,3,F,1243,55_1_20337_2004_1
90,55_101_20073,55,101,20073,2000,2005,2010,2016,4,F,4213,55_101_20073_2000_4
92,55_101_20270,55,101,20270,2001,2006,2011,2017,4,F,3241,55_101_20270_2001_3
93,55_101_20285,55,101,20285,2003,2008,2013,0,3,F,2431,55_101_20285_2003_2
95,55_103_20006,55,103,20006,2004,2009,2014,0,3,F,1342,55_103_20006_2004_1
96,55_103_20007,55,103,20007,2003,2008,2013,0,3,F,4321,55_103_20007_2003_4
97,55_103_20011,55,103,20011,2002,2007,2012,2019,4,M,4321,55_103_20011_2002_4
98,55_103_20013,55,103,20013,2002,2007,2012,2019,4,F,4132,55_103_20013_2002_4
100,55_103_20017,55,103,20017,2004,2009,2015,0,3,M,1243,55_103_20017_2004_1
101,55_103_20020,55,103,20020,2000,2005,2010,2015,4,M,4132,55_103_20020_2000_4
102,55_103_20035,55,103,20035,2001,2006,2011,2017,4,F,2314,55_103_20035_2001_2
103,55_103_20049,55,103,20049,2001,2006,2011,2017,4,F,1342,55_103_20049_2001_1
