ECOSUBCD,ECO_PROVINCE,ECOREGION
 211Ea,211E,211
 211Eb,211E,211
 211Ec,211E,211
 211Ee,211E,211
 211Fa,211F,211
 211Fb,211F,211
 211Fc,211F,211
 211Ga,211G,211
 211Ia,211I,211
 211Ib,211I,211
 211Ja,211J,211
 211Jb,211J,211
 211Jc,211J,211
 211Jd,211J,211
 212Jb,212J,212
 212Jc,212J,212
 212Ka,212K,212
 212Kb,212K,212
 212Qa,212Q,212
 212Qb,212Q,212
 212Qc,212Q,212
 212Qd,212Q,212
 212Ta,212T,212
 212Tb,212T,212
 212Tc,212T,212
 212Te,212T,212
 212Tf,212T,212
 212Xa,212X,212
 212Xb,212X,212
 212Xc,212X,212
 212Xd,212X,212
 212Xe,212X,212
 212Xf,212X,212
 212Xq,212X,212
 212Ya,212Y,212
 212Za,212Z,212
 212Zb,212Z,212
 212Zc,212Z,212
 221Ae,221A,221
 221An,221A,221
 221Ba,221B,221
 221Bb,221B,221
 221Bc,221B,221
 221Bd,221B,221
 221Dc,221D,221
 221Fa,221F,221
 222Ia,222I,222
 222Ib,222I,222
 222Ic,222I,222
 222Id,222I,222
 222Ie,222I,222
 222Kb,222K,222
 222Kc,222K,222
 222Kd,222K,222
 222Ke,222K,222
 222Kf,222K,222
 222Kg,222K,222
 222Kh,222K,222
 222La,222L,222
 222Lb,222L,222
 222Lc,222L,222
 222Ld,222L,222
 222Le,222L,222
 222Md,222M,222
 222Ra,222R,222
 222Rb,222R,222
 231Aa,231A,231
 231Ab,231A,231
 231Ac,231A,231
 231Ad,231A,231
 231Ae,231A,231
 231Af,231A,231
 231Ag,231A,231
 231Ai,231A,231
 231Aj,231A,231
 231Bd,231B,231
 231Cc,231C,231
 231Cf,231C,231
 231Da,231D,231
 231Db,231D,231
 231Dc,231D,231
 231Dd,231D,231
 231De,231D,231
 231Ea,231E,231
 231Ef,231E,231
 231Eg,231E,231
 231Ek,231E,231
 231Eo,231E,231
 232Bh,232B,232
 232Bi,232B,232
 232Bj,232B,232
 232Bm,232B,232
 232Bo,232B,232
 232Bp,232B,232
 232Ca,232C,232
 232Cb,232C,232
 232Cc,232C,232
 232Cd,232C,232
 232Ce,232C,232
 232Cf,232C,232
 232Cg,232C,232
 232Ea,232E,232
 232Fa,232F,232
 232Fb,232F,232
 232Fc,232F,232
 232Fe,232F,232
 232Ja,232J,232
 232Jd,232J,232
 232Je,232J,232
 232Jf,232J,232
 232Jg,232J,232
 255Ac,255A,255
 255Ba,255B,255
 255Ca,255C,255
 255Cc,255C,255
 255Cd,255C,255
 255Ce,255C,255
 255Cf,255C,255
 255Cg,255C,255
 255Ch,255C,255
 255Da,255D,255
 255Db,255D,255
 255Dd,255D,255
 255Eb,255E,255
 255Ec,255E,255
 255Ed,255E,255
 261Ac,261A,261
 261Af,261A,261
 261Ag,261A,261
 261Aj,261A,261
 261Ak,261A,261
 262Ag,262A,262
 263Ab,263A,263
 263Af,263A,263
 263Ag,263A,263
 263Al,263A,263
 263Am,263A,263
 313Aa,313A,313
 313Ab,313A,313
 313Ac,313A,313
 313Be,313B,313
 315Ba,315B,315
 315Bb,315B,315
 315Cb,315C,315
 315Cc,315C,315
 315Cd,315C,315
 315Ce,315C,315
 315Cf,315C,315
 315Da,315D,315
 315Db,315D,315
 315Dc,315D,315
 315Ea,315E,315
 315Eb,315E,315
 315Ec,315E,315
 315Ed,315E,315
 315Ef,315E,315
 315Eg,315E,315
 315Ga,315G,315
 321Ac,321A,321
 321Ad,321A,321
 321Ae,321A,321
 321Ba,321B,321
 322Aj,322A,322
 322Al,322A,322
 322Am,322A,322
 322Bc,322B,322
 322Cd,322C,322
 331Ia,331I,331
 331If,331I,331
 331Ih,331I,331
 331Ii,331I,331
 331Ja,331J,331
 331Jc,331J,331
 341Ba,341B,341
 341Bd,341B,341
 341Bg,341B,341
 341Bo,341B,341
 341Bp,341B,341
 341Bq,341B,341
 341Ca,341C,341
 341Dd,341D,341
 341De,341D,341
 341Dh,341D,341
 341Dj,341D,341
 341Dl,341D,341
 341Fb,341F,341
 342Bd,342B,342
 342Gf,342G,342
 342Gg,342G,342
M211Cb,M211C,M211
M211Da,M211D,M211
M211Db,M211D,M211
M211Dc,M211D,M211
M211Dd,M211D,M211
M211De,M211D,M211
M211Df,M211D,M211
M221Dc,M211D,M211
M221Dd,M211D,M211
M261Aa,M261A,M261
M261Ab,M261A,M261
M261Ac,M261A,M261
M261Ad,M261A,M261
M261Ae,M261A,M261
M261Af,M261A,M261
M261Ag,M261A,M261
M261Ah,M261A,M261
M261Ai,M261A,M261
M261Aj,M261A,M261
M261Ao,M261A,M261
M261Ap,M261A,M261
M261Aq,M261A,M261
M261Ar,M261A,M261
M261Au,M261A,M261
M261Ba,M261B,M261
M261Bb,M261B,M261
M261Bd,M261B,M261
M261Bf,M261B,M261
M261Ca,M261C,M261
M261Cb,M261C,M261
M261Da,M261D,M261
M261Dd,M261D,M261
M261Df,M261D,M261
M261Dh,M261D,M261
M261Di,M261D,M261
M261Dj,M261D,M261
M261Dl,M261D,M261
M261Dm,M261D,M261
M261Ea,M261E,M261
M261Eb,M261E,M261
M261Ec,M261E,M261
M261Ed,M261E,M261
M261Ee,M261E,M261
M261Ef,M261E,M261
M261Eg,M261E,M261
M261Eh,M261E,M261
M261Ei,M261E,M261
M261Ej,M261E,M261
M261Ek,M261E,M261
M261El,M261E,M261
M261Em,M261E,M261
M261Eo,M261E,M261
M261Ep,M261E,M261
M261Eq,M261E,M261
M261Er,M261E,M261
M261Es,M261E,M261
M261Et,M261E,M261
M261Eu,M261E,M261
M261Fa,M261F,M261
M261Fb,M261F,M261
M261Fc,M261F,M261
M261Fd,M261F,M261
M261Fe,M261F,M261
M261Ga,M261G,M261
M261Gb,M261G,M261
M261Gc,M261G,M261
M261Gd,M261G,M261
M261Gf,M261G,M261
M261Gi,M261G,M261
M261Gj,M261G,M261
M261Gl,M261G,M261
M261Gm,M261G,M261
M262Aa,M262A,M262
M262Ab,M262A,M262
M262Ac,M262A,M262
M262Ae,M262A,M262
M262Af,M262A,M262
M262Bb,M262B,M262
M262Bd,M262B,M262
M262Be,M262B,M262
M262Bg,M262B,M262
M262Bh,M262B,M262
M262Bi,M262B,M262
M262Bm,M262B,M262
M262Bn,M262B,M262
M262Bo,M262B,M262
M262Bp,M262B,M262
M331Ee,M331E,M331
M331Eg,M331E,M331
