STATECD,COUNTYCD,PLOT,INVYR,KEY,TIME_PER
55,7,20621,2000,55_7_20621,0
55,7,20622,2000,55_7_20622,0
55,7,20623,2000,55_7_20623,0
55,7,20629,2000,55_7_20629,0
55,7,20631,2000,55_7_20631,0
55,7,20632,2000,55_7_20632,0
55,7,20634,2000,55_7_20634,0
55,7,20635,2000,55_7_20635,0
55,7,20134,2000,55_7_20134,0
55,7,20438,2000,55_7_20438,0
55,7,20084,2000,55_7_20084,0
55,7,20261,2000,55_7_20261,0
55,7,29052,2000,55_7_29052,0
55,7,20448,2000,55_7_20448,0
55,9,20135,2000,55_9_20135,0
55,9,20208,2000,55_9_20208,0
55,9,20218,2000,55_9_20218,0
55,9,20036,2000,55_9_20036,0
55,9,20188,2000,55_9_20188,0
55,9,20174,2000,55_9_20174,0
55,9,20023,2000,55_9_20023,0
55,9,20019,2000,55_9_20019,0
55,9,20216,2000,55_9_20216,0
55,9,20236,2000,55_9_20236,0
55,9,20237,2000,55_9_20237,0
55,9,20239,2000,55_9_20239,0
55,9,20240,2000,55_9_20240,0
55,9,20241,2000,55_9_20241,0
55,9,20242,2000,55_9_20242,0
55,9,20243,2000,55_9_20243,0
55,67,20309,2000,55_67_20309,0
55,67,20335,2000,55_67_20335,0
55,67,20036,2000,55_67_20036,0
55,67,20059,2000,55_67_20059,0
55,67,20319,2000,55_67_20319,0
55,67,20052,2000,55_67_20052,0
55,67,20007,2000,55_67_20007,0
55,67,20195,2000,55_67_20195,0
55,67,20321,2000,55_67_20321,0
55,67,20129,2000,55_67_20129,0
55,67,20337,2000,55_67_20337,0
55,67,20343,2000,55_67_20343,0
55,67,20344,2000,55_67_20344,0
55,67,20346,2000,55_67_20346,0
55,67,20347,2000,55_67_20347,0
55,67,20350,2000,55_67_20350,0
55,67,20351,2000,55_67_20351,0
55,67,20352,2000,55_67_20352,0
55,67,20353,2000,55_67_20353,0
55,67,20354,2000,55_67_20354,0
55,67,20355,2000,55_67_20355,0
55,67,20356,2000,55_67_20356,0
55,67,20357,2000,55_67_20357,0
55,67,20358,2000,55_67_20358,0
55,67,20359,2000,55_67_20359,0
55,67,20360,2000,55_67_20360,0
55,67,20361,2000,55_67_20361,0
55,67,20362,2000,55_67_20362,0
55,67,20363,2000,55_67_20363,0
55,69,20206,2000,55_69_20206,0
55,69,20149,2000,55_69_20149,0
55,69,20040,2000,55_69_20040,0
55,69,20144,2000,55_69_20144,0
55,69,20244,2000,55_69_20244,0
55,69,20028,2000,55_69_20028,0
55,69,20004,2000,55_69_20004,0
55,69,20347,2000,55_69_20347,0
55,69,20074,2000,55_69_20074,0
55,69,20031,2000,55_69_20031,0
55,69,20193,2000,55_69_20193,0
55,69,20249,2000,55_69_20249,0
55,69,20108,2000,55_69_20108,0
55,69,20129,2000,55_69_20129,0
55,69,20329,2000,55_69_20329,0
55,69,20175,2000,55_69_20175,0
55,69,20305,2000,55_69_20305,0
55,69,20041,2000,55_69_20041,0
55,69,20153,2000,55_69_20153,0
55,69,20231,2000,55_69_20231,0
55,69,20107,2000,55_69_20107,0
55,69,20333,2000,55_69_20333,0
55,69,20235,2000,55_69_20235,0
55,69,20360,2000,55_69_20360,0
55,69,20365,2000,55_69_20365,0
55,69,20368,2000,55_69_20368,0
55,69,20369,2000,55_69_20369,0
55,69,20370,2000,55_69_20370,0
55,69,20371,2000,55_69_20371,0
55,69,20372,2000,55_69_20372,0
55,69,20373,2000,55_69_20373,0
55,69,20374,2000,55_69_20374,0
55,69,20375,2000,55_69_20375,0
55,105,20288,2000,55_105_20288,0
55,107,20038,2000,55_107_20038,0
55,107,20172,2000,55_107_20172,0
55,107,20068,2000,55_107_20068,0
55,107,20272,2000,55_107_20272,0
55,107,20052,2000,55_107_20052,0
55,107,20191,2000,55_107_20191,0
55,107,20279,2000,55_107_20279,0
55,107,20117,2000,55_107_20117,0
55,107,20055,2000,55_107_20055,0
55,107,20290,2000,55_107_20290,0
55,107,20158,2000,55_107_20158,0
55,107,20217,2000,55_107_20217,0
55,107,20302,2000,55_107_20302,0
55,107,20128,2000,55_107_20128,0
55,107,20210,2000,55_107_20210,0
55,107,20247,2000,55_107_20247,0
55,107,20195,2000,55_107_20195,0
55,107,20327,2000,55_107_20327,0
55,107,20157,2000,55_107_20157,0
55,107,20281,2000,55_107_20281,0
55,107,20358,2000,55_107_20358,0
55,107,20360,2000,55_107_20360,0
55,107,20362,2000,55_107_20362,0
55,107,20365,2000,55_107_20365,0
55,107,20368,2000,55_107_20368,0
55,107,20369,2000,55_107_20369,0
55,107,20370,2000,55_107_20370,0
