"","STATECD","COUNTYCD","PLOT","INVYR","CONDITION","KEY","TIME_PER","subplot_list"
"1",55,1,10349,2004,"F","55_1_10349",0,"4312"
"2",55,1,10350,2004,"F","55_1_10350",0,"2413"
"3",55,1,10351,2004,"M","55_1_10351",0,"2413"
"4",55,1,10352,2007,"F","55_1_10352",0,"4231"
"5",55,1,20001,2001,"F","55_1_20001",0,"2143"
"6",55,1,20007,2002,"F","55_1_20007",0,"4321"
"7",55,1,20012,2004,"F","55_1_20012",0,"3124"
"8",55,1,20026,2001,"F","55_1_20026",0,"2413"
"9",55,1,20029,2001,"F","55_1_20029",0,"3412"
"10",55,1,20032,2000,"M","55_1_20032",0,"3241"
"11",55,1,20040,2000,"F","55_1_20040",0,"4213"
"12",55,1,20058,2004,"M","55_1_20058",0,"1324"
"13",55,1,20060,2002,"F","55_1_20060",0,"2341"
"14",55,1,20061,2003,"M","55_1_20061",0,"1432"
"15",55,1,20069,2000,"F","55_1_20069",0,"2134"
"16",55,1,20071,2000,"F","55_1_20071",0,"4231"
"17",55,1,20077,2001,"F","55_1_20077",0,"2314"
"18",55,1,20079,2000,"M","55_1_20079",0,"3214"
"19",55,1,20092,2000,"F","55_1_20092",0,"3241"
"20",55,1,20095,2003,"F","55_1_20095",0,"1342"
"21",55,1,20103,2001,"F","55_1_20103",0,"1243"
"22",55,1,20106,2000,"F","55_1_20106",0,"4132"
"23",55,1,20108,2002,"M","55_1_20108",0,"1324"
"24",55,1,20119,2003,"F","55_1_20119",0,"1324"
"25",55,1,20122,2001,"M","55_1_20122",0,"4123"
"26",55,1,20123,2004,"M","55_1_20123",0,"4312"
"27",55,1,20125,2004,"M","55_1_20125",0,"2341"
"28",55,1,20127,2002,"M","55_1_20127",0,"2431"
"29",55,1,20128,2004,"F","55_1_20128",0,"1423"
"30",55,1,20130,2001,"F","55_1_20130",0,"1234"
"31",55,1,20133,2003,"F","55_1_20133",0,"2413"
"32",55,1,20149,2003,"M","55_1_20149",0,"3421"
"33",55,1,20153,2003,"M","55_1_20153",0,"1234"
"34",55,1,20162,2003,"M","55_1_20162",0,"1342"
"35",55,1,20165,2004,"F","55_1_20165",0,"2431"
"36",55,1,20166,2004,"M","55_1_20166",0,"1432"
"37",55,1,20168,2002,"M","55_1_20168",0,"2431"
"38",55,1,20179,2000,"F","55_1_20179",0,"3241"
"39",55,1,20183,2003,"F","55_1_20183",0,"3412"
"40",55,1,20184,2001,"F","55_1_20184",0,"2341"
"41",55,1,20193,2001,"F","55_1_20193",0,"3412"
"42",55,1,20196,2000,"F","55_1_20196",0,"4321"
"43",55,1,20204,2001,"F","55_1_20204",0,"2413"
"44",55,1,20207,2003,"F","55_1_20207",0,"2143"
"45",55,1,20208,2003,"F","55_1_20208",0,"1324"
"46",55,1,20210,2003,"M","55_1_20210",0,"4312"
"47",55,1,20215,2003,"F","55_1_20215",0,"4321"
"48",55,1,20227,2004,"F","55_1_20227",0,"4132"
"49",55,1,20229,2004,"F","55_1_20229",0,"2134"
"50",55,1,20232,2004,"M","55_1_20232",0,"2431"
"51",55,1,20234,2001,"F","55_1_20234",0,"1342"
"52",55,1,20237,2001,"F","55_1_20237",0,"1432"
"53",55,1,20244,2003,"M","55_1_20244",0,"3214"
"54",55,1,20246,2000,"F","55_1_20246",0,"2413"
"55",55,1,20248,2004,"F","55_1_20248",0,"3421"
"56",55,1,20249,2001,"F","55_1_20249",0,"2341"
"57",55,1,20250,2000,"M","55_1_20250",0,"3142"
"58",55,1,20251,2001,"M","55_1_20251",0,"3421"
"59",55,1,20252,2004,"F","55_1_20252",0,"3421"
"60",55,1,20253,2002,"F","55_1_20253",0,"3124"
"61",55,1,20255,2002,"F","55_1_20255",0,"2413"
"62",55,1,20257,2002,"M","55_1_20257",0,"4321"
"63",55,1,20259,2000,"F","55_1_20259",0,"1423"
"64",55,1,20262,2000,"F","55_1_20262",0,"3421"
"65",55,1,20264,2000,"F","55_1_20264",0,"3412"
"66",55,1,20265,2000,"F","55_1_20265",0,"1423"
"67",55,1,20266,2000,"F","55_1_20266",0,"4132"
"68",55,1,20267,2000,"F","55_1_20267",0,"1423"
"69",55,1,20268,2001,"F","55_1_20268",0,"3142"
"70",55,1,20270,2001,"M","55_1_20270",0,"2413"
"71",55,1,20271,2001,"F","55_1_20271",0,"4213"
"72",55,1,20272,2001,"F","55_1_20272",0,"2413"
"73",55,1,20273,2001,"F","55_1_20273",0,"2413"
"74",55,1,20276,2001,"M","55_1_20276",0,"4231"
