"","KEY","STATECD","COUNTYCD","PLOT","t0","t1","t2","t3","N_REM","CONDITION","subplot_list"
"1","55_1_10349",55,1,10349,2004,2009,2014,0,3,"F",4312
"2","55_1_10350",55,1,10350,2004,2009,2014,0,3,"F",2413
"3","55_1_10351",55,1,10351,2004,2009,2014,0,3,"M",2413
"4","55_1_10352",55,1,10352,2007,2012,2019,0,3,"F",4231
"5","55_1_20001",55,1,20001,2001,2006,2011,2017,4,"F",2143
"6","55_1_20007",55,1,20007,2002,2007,2012,2018,4,"F",4321
"7","55_1_20012",55,1,20012,2004,2009,2015,0,3,"F",3124
"8","55_1_20026",55,1,20026,2001,2006,2011,2017,4,"F",2413
"9","55_1_20029",55,1,20029,2001,2006,2011,2018,4,"F",3412
"10","55_1_20032",55,1,20032,2000,2005,2010,2016,4,"M",3241
"11","55_1_20040",55,1,20040,2000,2005,2010,2016,4,"F",4213
"12","55_1_20058",55,1,20058,2004,2009,2014,0,3,"M",1324
"13","55_1_20060",55,1,20060,2002,2007,2012,2018,4,"F",2341
"14","55_1_20061",55,1,20061,2003,2008,2013,0,3,"M",1432
"15","55_1_20069",55,1,20069,2000,2005,2010,2015,4,"F",2134
"16","55_1_20071",55,1,20071,2000,2005,2010,2015,4,"F",4231
"17","55_1_20077",55,1,20077,2001,2006,2011,2018,4,"F",2314
"18","55_1_20079",55,1,20079,2000,2005,2010,2016,4,"M",3214
"19","55_1_20092",55,1,20092,2000,2005,2010,2016,4,"F",3241
"20","55_1_20095",55,1,20095,2003,2008,2013,0,3,"F",1342
"21","55_1_20103",55,1,20103,2001,2006,2011,2017,4,"F",1243
"22","55_1_20106",55,1,20106,2000,2005,2010,2015,4,"F",4132
"23","55_1_20122",55,1,20122,2001,2006,2011,2018,4,"M",4123
"24","55_1_20123",55,1,20123,2004,2009,2014,0,3,"M",4312
"25","55_1_20125",55,1,20125,2004,2009,2015,0,3,"M",2341
"26","55_1_20127",55,1,20127,2002,2007,2012,2019,4,"M",2431
"27","55_1_20128",55,1,20128,2004,2009,2014,0,3,"F",1423
"28","55_1_20130",55,1,20130,2001,2006,2011,2017,4,"F",1234
"29","55_1_20133",55,1,20133,2003,2008,2013,0,3,"F",2413
"30","55_1_20149",55,1,20149,2003,2008,2013,0,3,"M",3421
"31","55_1_20153",55,1,20153,2003,2008,2013,0,3,"M",1234
"32","55_1_20162",55,1,20162,2003,2008,2013,0,3,"M",1342
"33","55_1_20165",55,1,20165,2004,2009,2014,0,3,"F",2431
