"","STATECD","disturbance","n_plots"
"1",1,"CD",140
"2",1,"ND",15187
"3",1,"SD",2230
"4",5,"CD",70
"5",5,"ND",12041
"6",5,"SD",1038
"7",4,"CD",65
"8",4,"ND",5282
"9",4,"SD",811
"10",6,"CD",269
"11",6,"ND",7517
"12",6,"SD",2446
"13",8,"CD",189
"14",8,"ND",5439
"15",8,"SD",1487
"16",9,"CD",9
"17",9,"ND",860
"18",9,"SD",83
"19",10,"ND",383
"20",10,"SD",18
"21",12,"CD",180
"22",12,"ND",6961
"23",12,"SD",1645
"24",13,"CD",215
"25",13,"ND",13746
"26",13,"SD",2399
"27",19,"CD",69
"28",19,"ND",1606
"29",19,"SD",539
"30",16,"CD",108
"31",16,"ND",4662
"32",16,"SD",1292
"33",17,"CD",45
"34",17,"ND",2879
"35",17,"SD",572
"36",18,"CD",131
"37",18,"ND",3867
"38",18,"SD",755
"39",20,"CD",100
"40",20,"ND",1020
"41",20,"SD",703
"42",21,"CD",194
"43",21,"ND",6645
"44",21,"SD",1422
"45",22,"CD",54
"46",22,"ND",4892
"47",22,"SD",885
"48",25,"CD",18
"49",25,"ND",1468
"50",25,"SD",168
"51",24,"CD",7
"52",24,"ND",1157
"53",24,"SD",83
"54",23,"CD",29
"55",23,"ND",11447
"56",23,"SD",947
"57",26,"CD",163
"58",26,"ND",22436
"59",26,"SD",1923
"60",27,"CD",209
"61",27,"ND",20732
"62",27,"SD",2327
"63",29,"CD",334
"64",29,"ND",8962
"65",29,"SD",2791
"66",28,"CD",88
"67",28,"ND",9234
"68",28,"SD",1327
"69",30,"CD",159
"70",30,"ND",5751
"71",30,"SD",1580
"72",37,"CD",142
"73",37,"ND",11965
"74",37,"SD",1558
"75",38,"CD",35
"76",38,"ND",363
"77",38,"SD",212
"78",31,"CD",102
"79",31,"ND",388
"80",31,"SD",549
"81",33,"CD",4
"82",33,"ND",2526
"83",33,"SD",320
"84",34,"CD",10
"85",34,"ND",1314
"86",34,"SD",147
"87",35,"CD",93
"88",35,"ND",4380
"89",35,"SD",836
"90",32,"CD",20
"91",32,"ND",2847
"92",32,"SD",288
"93",36,"CD",104
"94",36,"ND",8340
"95",36,"SD",1255
"96",39,"CD",356
"97",39,"ND",3518
"98",39,"SD",1299
"99",40,"CD",133
"100",40,"ND",2963
"101",40,"SD",959
"102",41,"CD",930
"103",41,"ND",13637
"104",41,"SD",3950
"105",42,"CD",76
"106",42,"ND",9696
"107",42,"SD",1097
"108",44,"ND",341
"109",44,"SD",43
"110",45,"CD",55
"111",45,"ND",9698
"112",45,"SD",1026
"113",46,"CD",112
"114",46,"ND",793
"115",46,"SD",508
"116",47,"CD",37
"117",47,"ND",8898
"118",47,"SD",818
"119",48,"CD",147
"120",48,"ND",17495
"121",48,"SD",1772
"122",49,"CD",47
"123",49,"ND",5497
"124",49,"SD",672
"125",51,"CD",102
"126",51,"ND",10422
"127",51,"SD",1081
"128",50,"CD",5
"129",50,"ND",2297
"130",50,"SD",353
"131",53,"CD",749
"132",53,"ND",8386
"133",53,"SD",2413
"134",55,"CD",110
"135",55,"ND",21018
"136",55,"SD",1424
"137",54,"CD",176
"138",54,"ND",6684
"139",54,"SD",1111
"140",56,"CD",191
"141",56,"ND",2330
"142",56,"SD",1097
