ECO_PROVINCE,DESCRIPTION
212H,"""Northern Lower Peninsula Section"""
212J,"""Southern Superior Uplands Section"""
212K,"""Western Superior Uplands Section"""
212Q,"""North Central Wisconsin Uplands Section"""
212T,"""Northern Upper Peninsula Section"""
212X,"""Northern Highlands Section"""
212Y,"""Southwest Lake Superior Clay Plain Section"""
212Z,"""Green Bay-Manitowac Upland Section"""
222K,"""Southwestern Great Lakes Morainal Section"""
222L,"""North Central US Driftless and Escarpment Section"""
222M,"""Minnesota and Northeast Iowa Morainal-Oak Savana Section"""
222R,"""Wisconsin Central Sands Section"""
