MAPVALUE,PLT_KEY
1,55_1_10349_2004_4
2,55_1_10350_2004_2
3,55_1_20001_2001_2
4,55_1_20007_2002_4
5,55_1_20012_2004_3
6,55_1_20026_2001_2
7,55_1_20029_2001_3
8,55_1_20032_2000_3
9,55_1_20040_2000_4
10,55_1_20060_2002_2
11,55_1_20061_2003_1
12,55_1_20069_2000_2
13,55_1_20071_2000_4
14,55_1_20077_2001_2
15,55_1_20092_2000_3
16,55_1_20095_2003_1
17,55_1_20103_2001_1
18,55_1_20106_2000_4
19,55_1_20122_2001_4
20,55_1_20123_2004_4
21,55_1_20125_2004_2
22,55_1_20127_2002_2
23,55_1_20128_2004_1
24,55_1_20130_2001_1
25,55_1_20133_2003_2
26,55_1_20149_2003_3
27,55_1_20153_2003_1
28,55_1_20162_2003_1
29,55_1_20165_2004_2
30,55_1_20166_2004_1
31,55_1_20168_2002_2
32,55_1_20179_2000_3
33,55_1_20184_2001_2
34,55_1_20193_2001_3
35,55_1_20196_2000_4
36,55_1_20204_2001_2
37,55_1_20207_2003_2
38,55_1_20208_2003_1
39,55_1_20210_2003_4
40,55_1_20215_2003_4
41,55_1_20227_2004_4
42,55_1_20229_2004_2
43,55_1_20232_2004_2
44,55_1_20234_2001_1
45,55_1_20237_2001_1
46,55_1_20246_2000_2
47,55_1_20248_2004_3
48,55_1_20249_2001_2
49,55_1_20251_2001_3
50,55_1_20252_2004_3
51,55_1_20253_2002_3
52,55_1_20255_2002_2
53,55_1_20257_2002_4
54,55_1_20259_2000_1
55,55_1_20262_2000_3
56,55_1_20264_2000_3
57,55_1_20265_2000_1
58,55_1_20266_2000_4
59,55_1_20267_2000_1
60,55_1_20268_2001_3
61,55_1_20271_2001_4
62,55_1_20272_2001_2
63,55_1_20273_2001_2
64,55_1_20277_2001_4
65,55_1_20291_2002_1
66,55_1_20292_2002_2
67,55_1_20293_2002_2
68,55_1_20295_2002_4
69,55_1_20299_2002_1
70,55_1_20300_2002_1
71,55_1_20303_2003_2
72,55_1_20307_2003_4
73,55_1_20311_2003_4
74,55_1_20312_2003_3
75,55_1_20315_2003_1
76,55_1_20336_2004_2
77,55_1_20337_2004_1
78,55_101_20073_2000_4
79,55_101_20270_2001_3
80,55_101_20285_2003_2
81,55_103_20006_2004_1
82,55_103_20007_2003_4
83,55_103_20011_2002_4
84,55_103_20013_2002_4
85,55_103_20017_2004_1
86,55_103_20020_2000_4
87,55_103_20035_2001_2
88,55_103_20049_2001_1
89,55_103_20075_2001_3
90,55_103_20077_2001_3
91,55_103_20085_2000_4
92,55_103_20086_2003_3
93,55_103_20090_2002_2
94,55_103_20096_2001_3
95,55_103_20105_2000_2
96,55_103_20108_2002_2
97,55_103_20112_2002_2
98,55_103_20128_2003_3
99,55_103_20136_2004_4
100,55_103_20143_2001_4
101,55_103_20145_2000_1
102,55_103_20149_2002_2
103,55_103_20150_2002_2
104,55_103_20152_2000_2
105,55_103_20160_2002_1
106,55_103_20167_2004_4
107,55_103_20168_2004_4
108,55_103_20177_2000_4
109,55_103_20178_2003_1
110,55_103_20187_2002_4
111,55_103_20192_2004_4
112,55_103_20209_2002_3
113,55_103_20213_2001_4
114,55_103_20219_2004_1
115,55_103_20222_2004_3
116,55_103_20223_2000_1
117,55_103_20224_2004_4
118,55_103_20231_2000_1
119,55_103_20235_2000_2
120,55_103_20241_2001_4
121,55_103_20251_2002_2
122,55_103_20254_2002_1
123,55_103_20256_2002_1
124,55_103_20262_2003_2
125,55_103_20263_2003_4
126,55_103_20265_2003_4
127,55_103_20268_2003_2
128,55_105_20003_2000_3
129,55_105_20006_2001_4
130,55_105_20025_2004_1
131,55_105_20058_2002_2
132,55_105_20083_2002_3
133,55_105_20088_2002_4
134,55_105_20101_2000_2
135,55_105_20106_2001_3
136,55_105_20144_2004_3
137,55_105_20198_2000_1
138,55_105_20221_2001_1
139,55_105_20236_2004_1
140,55_105_20266_2004_4
141,55_105_20268_2001_3
142,55_105_20272_2003_3
143,55_105_20281_2000_2
144,55_105_20285_2000_1
145,55_105_20296_2001_2
146,55_105_20312_2001_1
147,55_105_20328_2003_2
148,55_105_20355_2004_1
149,55_107_10485_2004_4
150,55_107_20001_2002_2
151,55_107_20012_2002_4
152,55_107_20020_2002_3
153,55_107_20038_2000_3
154,55_107_20039_2001_1
155,55_107_20043_2001_2
156,55_107_20052_2000_3
157,55_107_20055_2000_1
158,55_107_20060_2001_3
159,55_107_20062_2004_2
160,55_107_20068_2000_2
161,55_107_20073_2004_4
162,55_107_20074_2003_3
163,55_107_20081_2002_3
164,55_107_20083_2002_2
165,55_107_20089_2003_1
166,55_107_20090_2003_2
167,55_107_20091_2001_4
168,55_107_20098_2003_4
169,55_107_20101_2004_1
170,55_107_20103_2001_1
171,55_107_20107_2001_4
172,55_107_20116_2003_3
173,55_107_20126_2004_3
174,55_107_20133_2001_1
175,55_107_20135_2003_1
176,55_107_20136_2002_2
177,55_107_20138_2002_1
178,55_107_20139_2003_4
179,55_107_20149_2004_3
180,55_107_20155_2002_1
181,55_107_20164_2001_3
182,55_107_20166_2004_4
183,55_107_20168_2003_1
184,55_107_20172_2000_2
185,55_107_20180_2004_1
186,55_107_20184_2003_2
187,55_107_20188_2004_1
188,55_107_20192_2002_1
189,55_107_20195_2000_4
190,55_107_20203_2004_1
191,55_107_20210_2000_1
192,55_107_20214_2002_3
193,55_107_20217_2000_4
194,55_107_20224_2001_1
195,55_107_20225_2003_1
196,55_107_20226_2001_4
197,55_107_20227_2003_3
198,55_107_20230_2003_2
199,55_107_20231_2003_4
200,55_107_20233_2004_4
201,55_107_20248_2004_4
202,55_107_20251_2004_1
203,55_107_20254_2002_1
204,55_107_20265_2003_3
205,55_107_20268_2002_1
206,55_107_20275_2001_4
207,55_107_20281_2000_1
208,55_107_20284_2003_1
209,55_107_20291_2001_2
210,55_107_20293_2001_1
211,55_107_20302_2000_4
212,55_107_20313_2002_3
213,55_107_20323_2003_3
214,55_107_20327_2000_4
215,55_107_20342_2002_1
216,55_107_20343_2002_4
217,55_107_20345_2003_4
218,55_107_20352_2003_1
219,55_107_20355_2003_3
220,55_107_20357_2001_1
221,55_107_20358_2000_4
222,55_107_20359_2001_2
223,55_107_20360_2000_3
224,55_107_20361_2002_4
225,55_107_20362_2000_1
226,55_107_20363_2004_3
227,55_107_20366_2003_4
228,55_107_20367_2003_1
229,55_107_20369_2000_1
230,55_107_20370_2000_4
231,55_107_20371_2000_1
232,55_107_20373_2000_4
233,55_107_20375_2000_1
234,55_107_20376_2000_4
235,55_107_20377_2000_4
236,55_107_20380_2000_2
237,55_107_20382_2000_2
238,55_107_20383_2000_3
239,55_107_20384_2000_2
240,55_107_20385_2001_2
241,55_107_20386_2001_4
242,55_107_20388_2001_2
243,55_107_20389_2001_3
244,55_107_20391_2001_1
245,55_107_20392_2001_1
246,55_107_20393_2001_2
247,55_107_20394_2001_4
248,55_107_20395_2001_4
249,55_107_20398_2001_4
250,55_107_20416_2002_1
251,55_107_20417_2002_2
252,55_107_20420_2002_4
253,55_107_20421_2002_3
254,55_107_20424_2002_2
255,55_107_20425_2002_2
256,55_107_20428_2003_2
257,55_107_20429_2003_4
258,55_107_20430_2003_3
259,55_107_20432_2003_4
260,55_107_20433_2003_1
261,55_107_20437_2003_1
262,55_107_20439_2003_4
263,55_107_20440_2003_4
264,55_107_20457_2004_3
265,55_107_20459_2004_4
266,55_107_20461_2004_1
267,55_107_20465_2004_1
268,55_107_20466_2004_2
269,55_107_20467_2004_4
270,55_107_20468_2004_4
271,55_107_20469_2004_1
272,55_109_20037_2002_1
273,55_109_20065_2001_1
274,55_109_20071_2002_4
275,55_109_20096_2003_3
276,55_109_20111_2002_4
277,55_109_20120_2003_1
278,55_109_20128_2001_1
279,55_109_20130_2002_2
280,55_109_20135_2004_3
281,55_109_20141_2002_2
282,55_109_20157_2002_3
283,55_109_20159_2004_2
284,55_109_20163_2004_3
285,55_109_20190_2003_1
286,55_109_20216_2004_4
287,55_109_20220_2000_1
288,55_109_20223_2000_2
289,55_109_20245_2000_2
290,55_109_20274_2003_1
291,55_109_20276_2004_2
292,55_109_20280_2000_3
293,55_109_20284_2000_1
294,55_109_20289_2000_2
295,55_109_20290_2001_4
296,55_109_20314_2002_1
297,55_109_20316_2002_3
298,55_109_20319_2002_4
299,55_109_20320_2002_1
300,55_109_20327_2003_3
301,55_109_20351_2004_3
302,55_109_20353_2004_3
303,55_109_20355_2004_1
304,55_11_20011_2002_3
305,55_11_20013_2001_4
306,55_11_20019_2004_3
307,55_11_20022_2003_4
308,55_11_20024_2002_4
309,55_11_20039_2003_4
310,55_11_20044_2001_1
311,55_11_20047_2000_3
312,55_11_20050_2000_1
313,55_11_20062_2003_2
314,55_11_20074_2002_2
315,55_11_20076_2002_2
316,55_11_20078_2002_1
317,55_11_20085_2001_1
318,55_11_20098_2003_2
319,55_11_20102_2003_1
320,55_11_20105_2000_3
321,55_11_20106_2000_4
322,55_11_20120_2000_4
323,55_11_20131_2004_2
324,55_11_20134_2004_2
325,55_11_20140_2002_4
326,55_11_20149_2003_4
327,55_11_20155_2004_3
328,55_11_20160_2001_1
329,55_11_20163_2001_2
330,55_11_20165_2003_3
331,55_11_20167_2002_3
332,55_11_20168_2000_4
333,55_11_20170_2004_4
334,55_11_20173_2001_2
335,55_11_20190_2002_2
336,55_11_20193_2003_1
337,55_11_20223_2004_2
338,55_11_20239_2000_1
339,55_11_20249_2004_3
