SUBKEY,LUMAPCODE,TIMESTEP
55_69_20008_2,1,5
55_69_20169_4,2,5
55_85_20104_3,3,5
55_3_20001_1,4,5
55_119_20254_1,5,5
55_125_20467_4,6,5
55_51_20397_3,7,5
55_3_20156_1,8,5
55_113_20464_4,9,5
55_113_29025_3,10,5
55_37_20139_2,11,5
55_37_20143_2,12,5
55_67_20414_4,13,5
55_99_20361_1,14,5
55_7_20380_1,15,5
55_3_20587_2,16,5
55_113_20144_2,17,5
55_67_20124_1,18,5
55_3_20445_1,19,5
55_75_20531_1,20,5
55_67_20281_3,21,5
55_75_20610_4,22,5
55_31_20661_4,23,5
55_67_20434_2,24,5
55_3_20641_2,25,5
55_41_29066_1,26,5
55_37_29027_3,27,5
55_85_20470_2,28,5
55_75_20692_3,29,5
55_129_20221_1,30,5
55_41_20107_1,31,5
55_7_20356_4,32,5
55_99_20588_3,33,5
55_31_20701_1,34,5
55_41_20149_2,35,5
55_113_20003_4,36,5
55_99_20466_3,37,5
55_37_20132_4,38,5
55_7_20743_3,39,5
55_3_20528_2,40,5
55_99_20047_4,41,5
55_67_20444_1,42,5
55_31_20313_4,43,5
55_51_20430_3,44,5
55_41_20374_1,45,5
55_85_20511_4,46,5
55_41_20282_1,47,5
55_3_20002_3,48,5
55_125_20283_1,49,5
55_7_20219_4,50,5
55_83_20194_4,51,5
55_125_20143_2,52,5
55_7_20536_4,53,5
55_31_20164_3,54,5
55_51_20091_1,55,5
55_3_20246_3,56,5
55_99_20502_4,57,5
55_31_20145_4,58,5
55_85_20588_4,59,5
55_31_20654_4,60,5
55_3_20444_1,61,5
55_3_20638_4,62,5
55_75_20441_3,63,5
55_85_20264_1,64,5
55_125_20395_4,65,5
55_31_20573_4,66,5
55_31_20640_4,67,5
55_51_20435_2,68,5
55_3_20002_1,69,5
55_41_29023_3,70,5
55_85_20013_4,71,5
55_99_20464_3,72,5
55_69_20426_1,73,5
55_125_20003_2,74,5
55_37_20143_4,75,5
55_113_20550_2,76,5
55_67_20369_3,77,5
55_85_20450_3,78,5
55_85_20063_3,79,5
55_7_20544_4,80,5
55_3_20102_2,81,5
55_125_20461_1,82,5
55_3_20330_3,83,5
55_119_20157_2,84,5
55_99_20138_1,85,5
55_99_20263_3,86,5
55_41_29079_2,87,5
55_125_20230_3,88,5
55_51_20102_2,89,5
55_41_29079_3,90,5
55_119_20176_1,91,5
55_41_20290_4,92,5
55_75_20588_2,93,5
55_7_20539_1,94,5
55_125_20001_4,95,5
55_3_20307_1,96,5
55_83_20293_3,97,5
55_51_20060_1,98,5
55_113_20003_3,99,5
55_31_20103_1,100,5
55_41_20388_1,101,5
55_125_20119_4,102,5
55_37_20213_2,103,5
55_7_20494_1,104,5
55_99_20230_4,105,5
55_7_20498_4,106,5
55_67_20324_2,107,5
55_85_20659_1,108,5
55_7_20706_3,109,5
55_3_20331_1,110,5
55_3_20059_4,111,5
55_29_20460_4,112,5
55_99_20553_4,113,5
55_51_20396_4,114,5
55_29_20162_1,115,5
55_17_20450_4,116,5
55_85_20385_1,117,5
55_7_20126_2,118,5
55_29_20162_2,119,5
55_31_20563_1,120,5
55_67_20281_1,121,5
55_75_20088_2,122,5
55_99_20538_4,123,5
55_51_20399_4,124,5
55_3_20367_2,125,5
55_113_20123_3,126,5
55_67_20230_3,127,5
55_119_20075_4,128,5
55_7_20640_1,129,5
55_69_20060_1,130,5
55_3_20447_4,131,5
55_7_20698_1,132,5
55_3_20591_4,133,5
55_129_20284_2,134,5
55_41_20402_1,135,5
55_99_20370_1,136,5
55_99_20588_1,137,5
55_41_20400_4,138,5
55_3_20612_2,139,5
55_3_20184_3,140,5
55_51_20205_1,141,5
55_31_20440_3,142,5
55_119_20148_1,143,5
55_85_20490_3,144,5
55_3_20587_1,145,5
55_75_20073_2,146,5
55_69_20098_1,147,5
55_75_20623_3,148,5
55_75_20730_4,149,5
55_69_20396_3,150,5
55_51_20337_3,151,5
55_3_20156_2,152,5
55_67_20147_3,153,5
55_3_20225_2,154,5
55_75_20237_1,155,5
55_83_20063_3,156,5
55_7_20287_1,157,5
55_67_20196_2,158,5
55_125_20412_2,159,5
55_3_20529_4,160,5
55_85_20104_2,161,5
55_7_20391_3,162,5
55_7_20708_2,163,5
55_85_20623_2,164,5
55_51_20396_3,165,5
55_3_20307_4,166,5
55_67_20466_2,167,5
55_41_20361_1,168,5
55_31_20561_3,169,5
55_41_20357_1,170,5
55_119_20463_4,171,5
55_41_20297_3,172,5
55_69_20386_3,173,5
55_83_20394_4,174,5
55_41_20324_3,175,5
55_51_20300_1,176,5
55_85_20261_4,177,5
55_7_20418_1,178,5
55_69_20060_4,179,5
55_73_20502_2,180,5
55_85_20474_3,181,5
55_41_20008_1,182,5
55_7_20242_2,183,5
55_3_20164_3,184,5
55_75_20570_2,185,5
55_75_20751_1,186,5
55_115_20352_4,187,5
55_83_20396_1,188,5
55_75_20587_1,189,5
55_7_20099_3,190,5
55_3_10662_4,191,5
55_75_20542_1,192,5
55_51_20188_4,193,5
55_75_20751_2,194,5
55_29_20035_3,195,5
55_75_20266_3,196,5
55_85_20492_2,197,5
55_51_20433_2,198,5
55_3_20214_4,199,5
55_85_20512_2,200,5
55_3_20217_1,201,5
55_119_20128_3,202,5
55_7_20715_3,203,5
55_85_20178_2,204,5
55_7_20434_1,205,5
55_67_20392_1,206,5
55_31_20699_1,207,5
55_31_20401_3,208,5
55_113_20210_3,209,5
55_99_20285_3,210,5
55_51_20448_4,211,5
55_99_20184_1,212,5
55_31_20561_1,213,5
55_51_20335_4,214,5
55_3_20528_1,215,5
55_113_20200_2,216,5
55_113_20206_2,217,5
55_135_20077_2,218,5
55_99_20130_2,219,5
55_3_20138_4,220,5
55_83_20108_3,221,5
55_31_20039_3,222,5
55_51_20212_3,223,5
55_31_20330_2,224,5
55_75_20426_2,225,5
55_69_20379_1,226,5
55_3_20225_3,227,5
55_7_20620_3,228,5
55_85_20103_1,229,5
55_85_20213_4,230,5
55_51_20239_1,231,5
55_41_20276_3,232,5
55_31_20039_4,233,5
55_69_20375_2,234,5
55_78_20064_3,235,5
55_7_20181_2,236,5
55_51_20292_3,237,5
55_125_20261_2,238,5
55_99_20567_2,239,5
55_75_20542_3,240,5
55_85_20213_3,241,5
55_7_20038_1,242,5
55_41_20131_1,243,5
55_7_20040_2,244,5
55_51_20408_4,245,5
55_3_20384_1,246,5
55_7_29045_3,247,5
55_125_20111_3,248,5
55_41_20187_1,249,5
55_125_20407_1,250,5
55_37_29013_1,251,5
55_75_20570_1,252,5
55_7_20257_4,253,5
55_51_20009_4,254,5
55_7_20638_3,255,5
55_7_29032_4,256,5
55_51_20351_2,257,5
55_51_20353_1,258,5
55_69_20329_3,259,5
55_119_20178_4,260,5
55_3_20217_2,261,5
55_41_29037_4,262,5
55_41_20217_4,263,5
55_3_20560_4,264,5
55_41_20417_1,265,5
55_99_20416_4,266,5
55_3_20588_3,267,5
55_51_20014_2,268,5
55_115_20007_4,269,5
55_83_20444_4,270,5
55_7_20716_1,271,5
55_37_20018_4,272,5
55_3_20360_4,273,5
55_3_20146_4,274,5
55_135_20363_1,275,5
55_85_20474_2,276,5
55_31_20410_3,277,5
55_31_20479_2,278,5
55_51_20222_3,279,5
55_75_20661_2,280,5
55_51_20359_2,281,5
55_113_20550_1,282,5
55_51_20018_3,283,5
55_41_29064_2,284,5
55_125_29007_3,285,5
55_99_20529_4,286,5
55_125_20443_4,287,5
55_31_20001_4,288,5
55_41_20365_2,289,5
55_67_20360_1,290,5
55_85_20631_2,291,5
55_85_20336_1,292,5
55_115_20033_1,293,5
55_31_20214_3,294,5
55_73_20166_2,295,5
55_99_20551_2,296,5
55_113_20466_2,297,5
55_113_20591_3,298,5
55_115_20007_3,299,5
55_95_20194_4,300,5
55_75_20695_2,301,5
55_119_20462_4,302,5
55_37_20225_2,303,5
55_113_20498_3,304,5
55_85_20477_3,305,5
55_119_20376_1,306,5
55_77_20213_2,307,5
55_41_20066_1,308,5
55_85_20130_1,309,5
55_31_20675_2,310,5
55_53_20381_4,311,5
55_3_20530_4,312,5
55_129_20428_2,313,5
55_67_20466_3,314,5
55_69_20345_4,315,5
55_41_20241_1,316,5
55_85_20022_4,317,5
55_129_20255_2,318,5
55_17_20493_3,319,5
55_3_29031_4,320,5
55_78_20095_3,321,5
55_83_29002_3,322,5
55_125_20017_3,323,5
55_107_20126_3,324,5
55_75_20527_1,325,5
55_113_20368_1,326,5
55_75_20664_4,327,5
55_37_20203_1,328,5
55_113_20429_2,329,5
55_83_20293_2,330,5
55_7_20281_4,331,5
55_99_20199_4,332,5
55_7_20654_2,333,5
55_99_20065_3,334,5
55_75_20472_1,335,5
55_7_20604_2,336,5
55_51_20243_1,337,5
55_99_29021_3,338,5
55_83_20266_3,339,5
55_41_20395_1,340,5
55_31_20290_3,341,5
55_85_20515_1,342,5
55_31_20529_4,343,5
55_119_20426_3,344,5
55_99_20227_4,345,5
55_67_20244_3,346,5
55_41_20346_3,347,5
55_13_20420_3,348,5
55_85_20476_1,349,5
55_51_20214_4,350,5
55_75_20127_4,351,5
55_85_20314_1,352,5
55_51_20162_4,353,5
55_85_20287_2,354,5
55_85_20477_4,355,5
55_99_29025_3,356,5
55_78_20095_1,357,5
55_3_20447_3,358,5
55_141_20120_2,359,5
55_141_20120_1,360,5
55_17_20421_1,361,5
55_13_20457_3,362,5
55_85_20162_3,363,5
55_85_20103_2,364,5
55_129_20060_1,365,5
55_99_20358_3,366,5
55_51_20018_1,367,5
55_41_20308_2,368,5
55_31_20552_1,369,5
55_85_20249_3,370,5
