"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,9.98673967486355e-72,6.76338309367426e-197,0.969626975614853,0.0609167678228862,0.113999391245901,0.0530826234230148,0.0957767772424482,1198,"NOT REJECTED"
"2","acernegu",0.5,1.31758414737208e-05,0.006121447199,6.49128895613385e-24,0.17748125959304,0.123251708182632,-0.0542295514104077,0.169794733666227,196,"REJECTED"
"3","acerrubr",0.5,6.60372032922736e-14,3.75809479169595e-56,6.06293718419124e-179,0.172959947094873,0.150441648459086,-0.0225182986357872,0.141694013622142,2253,"REJECTED"
"4","acersacc",0.5,0.00318578385591704,4.57954057177999e-120,7.14037175522313e-75,0.177054503289883,0.186977545078935,0.00992304178905281,0.148126157178526,1943,"REJECTED"
"5","betualle",0.5,0.000168203835398893,8.11583645924051e-34,8.14475404654689e-09,0.0931263722736287,0.111603537264634,0.0184771649910056,0.09310520963426,367,"REJECTED"
"6","betupapy",0.5,4.89242403755104e-21,0.0162743253950691,5.32539368788349e-77,0.135033722561891,0.0908169059008927,-0.0442168166609984,0.107781256398322,570,"REJECTED"
"7","carycord",0.5,0.98649145331192,1.02986428371976e-12,8.38308735127853e-13,0.113775387725714,0.113652692499199,-0.000122695226515513,0.108093996270124,223,"REJECTED"
"8","caryovat",0.5,0.47213130724578,2.75260638939992e-09,9.0359854405061e-13,0.111150152882593,0.105677448621116,-0.00547270426147684,0.103871934150971,187,"REJECTED"
"9","fraxamer",0.5,4.79240535481819e-13,0.000337686092531708,3.20846447617097e-57,0.137530388497093,0.0944281485928748,-0.0431022399042177,0.125852769129007,472,"REJECTED"
"10","fraxnigr",0.5,6.87145541417649e-05,2.31213608422754e-19,8.73141394087581e-56,0.171198409342096,0.153299593778191,-0.017898815563905,0.117905024907349,696,"REJECTED"
"11","fraxpenn",0.5,0.62449325364535,4.8843807393108e-15,5.13099199807789e-18,0.132238573618859,0.127870377721879,-0.00436819589697933,0.154148794382236,299,"REJECTED"
"12","l_inconi",0.5,0.500717904961761,0.00872678488102245,0.000218952857195886,0.153487457099559,0.140083082902596,-0.0134043741969623,0.124729207913665,40,"REJECTED"
"13","l_inhard",0.5,0.688896942315404,0.0209523981230849,0.00336657234888446,0.227424816035697,0.212881259205804,-0.0145435568298931,0.183090119232633,26,"REJECTED"
"14","l_tohard",0.5,0.878235018115641,6.71532256231425e-07,1.76749956256986e-07,0.0905968810099477,0.089333167655403,-0.00126371335454469,0.0867004017748709,111,"REJECTED"
"15","larilari",0.5,5.72207559500666e-11,0.0352551017296503,4.42790787267348e-40,0.216178157725875,0.152679169724717,-0.0634989880011575,0.160889987314227,297,"REJECTED"
"16","ostrvirg",0.5,5.13189856753564e-16,1.49899270076876e-81,1.48793701109665e-07,0.0402289085364033,0.0537474184914065,0.0135185099550032,0.0438924614150787,726,"REJECTED"
"17","piceglau",0.5,3.93738011440305e-10,0.105965430416846,2.56143306666479e-34,0.183590114822814,0.125311439686486,-0.0582786751363283,0.138909429692998,242,"NOT REJECTED"
"18","picemari",0.5,1.23042579134039e-39,2.75645283095399e-75,0.999999998240943,0.0620361468559074,0.155409232231139,0.0933730853752319,0.111865600397697,329,"NOT REJECTED"
"19","pinubank",0.5,2.24315614284316e-07,0.0215928769987062,2.12750910697037e-28,0.22611847302564,0.15772404567872,-0.0683944273469201,0.188803613040295,218,"REJECTED"
"20","pinuresi",0.5,8.47918476525981e-08,2.18190719634566e-46,1.9731404581697e-07,0.291407522508999,0.339498660516067,0.0480911380070681,0.187092887708184,449,"REJECTED"
"21","pinustro",0.5,0.402849799612941,5.40821339622061e-35,8.10496870242203e-28,0.235801624862996,0.24327427565603,0.00747265079303417,0.219016969586476,602,"REJECTED"
"22","popugran",0.5,3.38290245767374e-11,0.00393653532479912,1.11654472494634e-45,0.237152856488157,0.155725135783614,-0.0814277207045428,0.226475730910773,362,"REJECTED"
