"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,4.52068490218544e-168,1,2.57570390074646e-294,0.339657389574251,0.114419641489448,-0.225237748084803,0.23683238509634,1186,"NOT REJECTED"
"2","acernegu",0.5,5.16714517663211e-05,0.00293493073346263,1.26483220319241e-22,0.173405872017265,0.123206398580818,-0.050199473436447,0.167936936079451,192,"REJECTED"
"3","acerrubr",0.5,2.50690374413998e-06,4.80416392192635e-66,1.73829847172536e-139,0.165167563578154,0.150164276793988,-0.0150032867841656,0.142936388224212,2023,"REJECTED"
"4","acersacc",0.5,1.3956763380473e-05,1.69416985975356e-126,1.23137348312003e-61,0.174162977064425,0.189281424698075,0.0151184476336507,0.149313458528644,1851,"REJECTED"
"5","betualle",0.5,1.50747189328296e-06,3.92135211174571e-35,2.48272889502742e-05,0.09082390518774,0.11661869513229,0.0257947899445504,0.0948771488789741,325,"REJECTED"
"6","betupapy",0.5,3.01408289563983e-13,0.000683167243691862,1.12732149744085e-56,0.129948306973789,0.0923625293750374,-0.0375857775987515,0.1073982200583,461,"REJECTED"
"7","carycord",0.5,0.703514252527391,1.5483504719445e-12,1.23316902483894e-10,0.114712402264062,0.117640824048885,0.00292842178482294,0.108389004397323,199,"REJECTED"
"8","caryovat",0.5,0.796793247802623,1.09322453783445e-09,6.85440797688876e-11,0.108412135852897,0.106350870394647,-0.00206126545825085,0.105125359144899,173,"REJECTED"
"9","fraxamer",0.5,1.08722838956905e-09,2.38082128108976e-05,2.56431566412727e-48,0.133531305627497,0.0945373970088829,-0.0389939086186146,0.129386517765484,428,"REJECTED"
"10","fraxnigr",0.5,0.0186876322481307,9.7642549188364e-25,5.29991096846303e-46,0.163539538408487,0.152604790316359,-0.0109347480921283,0.120330949195577,673,"REJECTED"
"11","fraxpenn",0.5,0.472185758819583,8.92607458842137e-14,4.68768580291067e-18,0.132651800033158,0.126204994005204,-0.00644680602795395,0.151448337045665,286,"REJECTED"
"12","l_inconi",0.5,0.520052742656344,0.0089883777451504,0.000276131774719809,0.15129052323233,0.13883213257295,-0.0124583906593802,0.11982617557554,39,"REJECTED"
