"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","212J",0.25,2.25961465342087e-05,0.435078871921322,5.6445351376168e-17,45.1253918495298,37.1598746081505,-7.96551724137931,33.0737987792564,319,"NOT REJECTED"
"2","212K",0.25,0.0128717766238512,6.12006062505946e-05,4.06414532032201e-18,41.1437403400309,37.386398763524,-3.75734157650696,38.317374799139,647,"REJECTED"
"3","212Q",0.25,5.70390415861166e-09,0.273192426944804,2.74199226490562e-32,37.2954209748892,30.5952732644018,-6.70014771048744,29.5413192223751,677,"NOT REJECTED"
"4","212T",0.25,3.32364370936363e-17,0.734340495888359,6.31957432078861e-55,42.8313609467456,33.974358974359,-8.85700197238659,32.8444277111694,1014,"NOT REJECTED"
"5","212X",0.25,1.96373340712177e-48,0.919263664577094,4.21758250746548e-157,44.1777015437393,35.3650085763293,-8.81269296740995,31.937050570814,2915,"NOT REJECTED"
"6","212Y",0.25,0.887133099026386,1.73965188150974e-05,5.47850671423947e-05,41.3698113207547,41.7018867924528,0.332075471698113,38.0502447608149,265,"REJECTED"
"7","212Z",0.25,0.176343783661379,0.0514785912941057,1.2416731365316e-05,29.7916666666667,27.3680555555556,-2.42361111111111,21.403411224464,144,"NOT REJECTED"
"8","222K",0.25,0.000174575048584687,0.0129822096905683,2.46057538500367e-21,20.7854671280277,17.9757785467128,-2.80968858131488,17.8801646315464,578,"REJECTED"
"9","222L",0.25,8.51823355685935e-40,0.999999663321518,1.62550654359897e-93,27.5458298926507,19.9702725020644,-7.57555739058629,19.2493820121638,1211,"NOT REJECTED"
"10","222M",0.25,0.483878213846944,0.0998928629512059,0.00439619086061503,21.109375,19.609375,-1.5,17.0396363326571,64,"NOT REJECTED"
"11","222R",0.25,8.60875234145116e-08,0.280525333581835,1.04822622147279e-27,36.6967071057192,30.0745233968804,-6.62218370883882,29.3293568578542,577,"NOT REJECTED"
