"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","212J",0.25,7.36811982276793e-07,0.721304027832397,2.31099997141381e-19,46.4984326018809,37.1598746081505,-9.33855799373041,33.0118825441544,319,"NOT REJECTED"
"2","212K",0.25,0.000755182898012297,0.00152373205366777,2.52177418474804e-21,42.4714064914992,37.386398763524,-5.08500772797527,38.2119785041239,647,"REJECTED"
"3","212Q",0.25,7.96195642147915e-09,0.254229863920209,4.94657907609446e-32,37.2525849335303,30.5952732644018,-6.65731166912851,29.6443039697501,677,"NOT REJECTED"
"4","212T",0.25,1.58085073154141e-17,0.763363049386001,1.91398612815761e-55,42.914201183432,33.974358974359,-8.93984220907298,32.8031511135145,1014,"NOT REJECTED"
"5","212X",0.25,2.97490944617186e-48,0.914696645931499,8.20563136043074e-157,44.1468267581475,35.3650085763293,-8.78181818181818,31.8891527524366,2915,"NOT REJECTED"
"6","212Y",0.25,0.217480664170827,0.00247978135742062,1.18794178324938e-07,44.5396226415094,41.7018867924528,-2.8377358490566,37.3683559332924,265,"REJECTED"
"7","212Z",0.25,0.0499203369813204,0.154109398477229,9.13336073422307e-07,30.9027777777778,27.3680555555556,-3.53472222222222,21.45084254933,144,"NOT REJECTED"
"8","222K",0.25,0.000110207284578034,0.0173619832797616,9.16865906965571e-22,20.8512110726644,17.9757785467128,-2.87543252595156,17.7537083851341,578,"REJECTED"
"9","222L",0.25,2.33529258195551e-39,0.999999483851051,6.23394720595045e-93,27.5078447563997,19.9702725020644,-7.53757225433526,19.2721921122617,1211,"NOT REJECTED"
"10","222M",0.25,0.131593540083661,0.31917085565258,0.000394222624612857,23,19.609375,-3.390625,17.7554974160699,64,"NOT REJECTED"
"11","222R",0.25,2.30531898339971e-10,0.673332610737638,5.07749906345292e-32,37.9566724436742,30.0745233968804,-7.88214904679376,29.3335696645067,577,"NOT REJECTED"
