"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,7.98269529087654e-166,1,9.42960582771852e-292,0.340370402785228,0.114854042498189,-0.225516360287038,0.23877669198868,1182,"NOT REJECTED"
"2","acernegu",0.5,8.19306921770954e-05,0.00174063564008833,1.67074778823187e-22,0.171169716007669,0.122643894000741,-0.0485258220069276,0.168391812285609,195,"REJECTED"
"3","acerrubr",0.5,6.29699101354099e-06,2.42510113007586e-67,8.10136885862647e-138,0.16472929742654,0.150376795871986,-0.014352501554554,0.142562671898392,2023,"REJECTED"
"4","acersacc",0.5,6.89782114616431e-06,1.24227798153907e-128,3.05373799097551e-61,0.173470373380712,0.18912736633356,0.0156569929528488,0.149976140794903,1866,"REJECTED"
"5","betualle",0.5,4.0654447498613e-06,1.307840641439e-34,7.92752965326502e-06,0.0891519325069797,0.114083402351398,0.0249314698444184,0.0964774746779511,329,"REJECTED"
"6","betupapy",0.5,7.1190941172593e-15,0.00336856439469272,2.15047380575467e-59,0.13124154973465,0.0914887982172647,-0.0397527515173852,0.106392453083278,464,"REJECTED"
"7","carycord",0.5,0.544414027920698,1.70931800644724e-13,2.04503013724331e-10,0.113154467526701,0.117848500446569,0.00469403291986758,0.110961871658848,206,"REJECTED"
"8","caryovat",0.5,0.816142750883198,1.66867180482924e-09,1.41738894457734e-10,0.107191889338735,0.105318214534471,-0.00187367480426327,0.104285479889668,168,"REJECTED"
"9","fraxamer",0.5,2.25096041637558e-11,0.00025974580681237,2.77335731039975e-51,0.13304415295978,0.0916081989890952,-0.0414359539706852,0.125049404901557,430,"REJECTED"
"10","fraxnigr",0.5,0.0388008715735165,7.54561002710923e-26,1.56864947343642e-44,0.163304382960816,0.153646262244991,-0.00965812071582503,0.12092943254731,672,"REJECTED"
"11","fraxpenn",0.5,0.644868358552621,1.63644433078474e-14,2.94640595011193e-17,0.131825179450772,0.127622091827428,-0.00420308762334359,0.154056534502092,286,"REJECTED"
"12","l_inconi",0.5,0.319101552466727,0.0226296614548183,0.000111065603212504,0.162190445880817,0.142909110523189,-0.0192813353576275,0.117692797232283,38,"REJECTED"
"13","l_inhard",0.5,0.556487784155479,0.0383994106308915,0.00286562670837754,0.224837044883186,0.204975209597566,-0.0198618352856193,0.163047941457222,24,"REJECTED"
"14","l_tohard",0.5,0.934480107175511,6.97138097320188e-07,3.43727388908692e-07,0.092212209373298,0.0914834548962985,-0.000728754476999483,0.0919071821382358,108,"REJECTED"
"15","larilari",0.5,0.000103707660807131,3.10776801648029e-05,8.77994534464682e-27,0.200852256024335,0.159589097841303,-0.0412631581830327,0.167743239076533,257,"REJECTED"
"16","ostrvirg",0.5,1.28837502949517e-106,1,4.54220962094455e-182,0.165803023569015,0.0536889570666784,-0.112114066502336,0.113926843501556,711,"NOT REJECTED"
"17","piceglau",0.5,7.91005421580499e-06,0.00595610341510655,8.22720154392674e-25,0.17515856598239,0.130003541659927,-0.0451550243224626,0.140282391758516,203,"REJECTED"
"18","picemari",0.5,7.73644801234239e-31,0.999964278540064,5.22552542717581e-65,0.267059653085028,0.159563295098471,-0.107496357986557,0.147905970829347,315,"NOT REJECTED"
"19","pinubank",0.5,7.87310177857911e-17,0.968106347346106,2.13186403811953e-39,0.285438445773381,0.162616588758549,-0.122821857014831,0.195293879539469,209,"NOT REJECTED"
"20","pinuresi",0.5,1.59769999420753e-09,1.97659280439856e-47,2.74746666972138e-05,0.288320677450838,0.345682984402875,0.0573623069520379,0.190485020879575,420,"REJECTED"
"21","pinustro",0.5,0.0970817871578401,1.55645533414803e-36,8.5704548888316e-23,0.231284200690383,0.246748888704039,0.0154646880136559,0.220593052840274,562,"REJECTED"
"22","popugran",0.5,7.96040839114831e-07,0.000132376594729868,3.58359823792331e-34,0.226335705392928,0.161667131102773,-0.0646685742901549,0.224031147129233,305,"REJECTED"
"23","poputrem",0.5,8.6169608355413e-116,1,8.42190843559821e-245,0.35093314014129,0.181750563078935,-0.169182577062354,0.228544882478097,1198,"NOT REJECTED"
"24","prunsero",0.5,1.50641810745872e-25,0.14611395020816,8.33708530329394e-84,0.125329328990217,0.0706619710081764,-0.0546673579820404,0.119844967664633,578,"NOT REJECTED"
"25","queralba",0.5,3.91108003291075e-18,1.08691892801991e-55,0.33598455281437,0.0789423575090552,0.152229672322732,0.0732873148136772,0.153359747354208,367,"NOT REJECTED"
"26","querelli",0.5,0.0523720280651264,9.28499670509706e-12,6.98342049773373e-24,0.160050682790373,0.145583687370853,-0.0144669954195199,0.132477295808108,318,"REJECTED"
"27","quermacr",0.5,0.0559797703751031,2.74720474142725e-06,3.28780233518084e-15,0.15290100029095,0.13035825886094,-0.0225427414300101,0.154991732772382,175,"REJECTED"
"28","querrubr",0.5,1.95933268649003e-05,6.62430808932914e-48,2.62770315307791e-13,0.181440731678337,0.212725610247672,0.0312848785693353,0.170028134850777,548,"REJECTED"
"29","quervelu",0.5,0.00201561167865718,0.000149235676804807,2.93767381566516e-19,0.207224721199105,0.16928876213713,-0.0379359590619754,0.165166317820433,186,"REJECTED"
"30","s_inhard",0.5,0.395003163719887,9.96545848124973e-11,4.29857856327104e-07,0.0377431868608443,0.0414293535675347,0.00368616670669043,0.051847889196595,144,"REJECTED"
"31","s_tohard",0.5,3.33179806514356e-08,0.959015196756662,8.04905435037017e-17,0.104101435965559,0.0327181019253254,-0.0713833340402335,0.101848230033816,77,"NOT REJECTED"
"32","thujocci",0.5,7.19984258107103e-64,7.81931357913978e-101,1,0.12818537628345,0.350729928191683,0.222544551908233,0.200360007392029,355,"NOT REJECTED"
"33","tiliamer",0.5,0.110631315557014,2.30698908427589e-41,4.24734044111681e-27,0.148767777086041,0.158684515289449,0.00991673820340865,0.158991341851808,656,"REJECTED"
"34","tsugcana",0.5,4.18416557734794e-18,1.62674585701581e-47,0.833561769902118,0.14569845614543,0.244151585417471,0.0984531292720415,0.176382815683138,278,"NOT REJECTED"
"35","ulmuamer",0.5,0.00131291468866316,9.51151552210132e-20,8.52387651083561e-48,0.140113525133629,0.116041240647635,-0.0240722844859942,0.187197203290546,630,"REJECTED"
