SUBKEY,LUMAPCODE,TIMESTEP
55_73_20166_2,1,5
55_99_20538_4,2,5
55_41_20388_1,3,5
55_51_20408_4,4,5
55_67_20443_4,5,5
55_75_20410_3,6,5
55_69_20098_1,7,5
55_3_20529_4,8,5
55_31_20001_1,9,5
55_29_20035_3,10,5
55_75_20266_2,11,5
55_99_20588_1,12,5
55_67_20446_4,13,5
55_113_20550_1,14,5
55_83_20396_1,15,5
55_3_20002_1,16,5
55_3_20591_4,17,5
55_13_20084_3,18,5
55_75_20610_4,19,5
55_113_20591_3,20,5
55_119_20176_1,21,5
55_41_20217_4,22,5
55_113_20550_2,23,5
55_3_20217_2,24,5
55_67_20414_4,25,5
55_69_20396_3,26,5
55_113_20003_4,27,5
55_85_20659_4,28,5
55_3_20146_1,29,5
55_41_20290_4,30,5
55_125_20412_2,31,5
55_7_20708_1,32,5
55_3_20384_1,33,5
55_85_20213_3,34,5
55_85_20470_2,35,5
55_41_20149_2,36,5
55_83_20394_4,37,5
55_51_20214_1,38,5
55_113_20144_2,39,5
55_41_20008_1,40,5
55_113_20464_4,41,5
55_135_20077_2,42,5
55_51_20359_2,43,5
55_3_20560_4,44,5
55_113_20466_2,45,5
55_85_20631_2,46,5
55_41_20417_1,47,5
55_67_20466_2,48,5
55_31_20440_3,49,5
55_3_20225_2,50,5
55_31_20039_4,51,5
55_7_20283_2,52,5
55_37_20018_4,53,5
55_37_20132_4,54,5
55_7_20242_2,55,5
55_7_20126_2,56,5
55_7_20536_4,57,5
55_3_20367_2,58,5
55_41_20374_1,59,5
55_41_20097_4,60,5
55_51_20222_3,61,5
55_41_20297_3,62,5
55_51_20448_4,63,5
55_67_20360_1,64,5
55_3_20604_3,65,5
55_3_20225_3,66,5
55_69_20060_1,67,5
55_3_20217_1,68,5
55_7_20715_3,69,5
55_115_20352_4,70,5
55_31_20330_2,71,5
55_41_20417_2,72,5
55_75_20426_2,73,5
55_51_20396_4,74,5
55_51_20091_4,75,5
55_7_20539_1,76,5
55_31_20039_3,77,5
55_83_20194_4,78,5
55_3_20638_4,79,5
55_41_20390_4,80,5
55_85_20271_4,81,5
55_75_20420_2,82,5
55_3_20307_1,83,5
55_31_20164_3,84,5
55_125_20021_1,85,5
55_85_20479_4,86,5
55_3_20146_4,87,5
55_7_20167_2,88,5
55_41_20276_3,89,5
55_7_20743_3,90,5
55_3_20004_3,91,5
55_85_20063_3,92,5
55_51_20018_3,93,5
55_78_20051_3,94,5
55_85_20511_4,95,5
55_125_20461_1,96,5
55_119_20178_1,97,5
55_67_20343_2,98,5
55_3_20138_4,99,5
