"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","212J",0.25,0.249060494397649,1.70665164086007e-05,0.0261690343759344,0.448627193706728,0.472923133872931,0.0242959401662029,0.261434619527276,155,"REJECTED"
"2","212K",0.25,0.646486014596576,1.07063821486272e-06,5.59793931232707e-05,0.356148350303567,0.362476291718101,0.00632794141453363,0.241107900926079,306,"REJECTED"
"3","212Q",0.25,0.648252384535874,6.66261706189926e-07,3.70038906216719e-05,0.38037149666973,0.386403770145298,0.0060322734755678,0.236318477908618,320,"REJECTED"
"4","212T",0.25,0.525408720099813,8.69850121623075e-07,1.01624315600509e-09,0.45064216499759,0.442734741454133,-0.0079074235434576,0.272610815822802,480,"REJECTED"
"5","212X",0.25,2.30647117083895e-11,0.00426237390113855,4.89330070202727e-54,0.452955060615514,0.410100674540597,-0.0428543860749167,0.238415240739222,1406,"REJECTED"
"6","212Y",0.25,0.821598905425624,0.00142428881868397,0.00534329265650718,0.396643258511744,0.401920172929002,0.00527691441725814,0.263178836846987,127,"REJECTED"
"7","212Z",0.25,6.6820387186156e-05,1.13543094385512e-08,0.983352304417957,0.337390045417919,0.475295140315047,0.137905094897128,0.269579578348037,69,"NOT REJECTED"
"8","222K",0.25,1.32414211014117e-13,1.13325202972129e-26,0.999888644381588,0.283387741715432,0.412878084184433,0.129490342469,0.269791904453376,265,"NOT REJECTED"
"9","222L",0.25,0.0212972988786848,1.09523797654112e-15,0.000210435949873474,0.379422562362488,0.403955656690821,0.0245330943283333,0.248917883003251,549,"REJECTED"
"10","222M",0.25,0.00410366810939134,5.85892814871696e-05,0.957007177063702,0.252458602304038,0.369007100751999,0.116548498447961,0.200780106191054,29,"NOT REJECTED"
"11","222R",0.25,0.154451916978647,3.99781366180324e-08,0.004088047720929,0.347346991539699,0.368693256362263,0.021346264822564,0.24471017447272,268,"REJECTED"
