"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","212J",0.25,0.010978761211736,3.15805666852542e-08,0.295708678959084,31.0838709677419,35.8451612903226,4.76129032258065,23.0242909195969,155,"NOT REJECTED"
"2","212K",0.25,6.69530493091071e-08,1.50511589120599e-20,0.876984829751317,27.3104575163399,35.5392156862745,8.22875816993464,26.0039080876289,306,"NOT REJECTED"
"3","212Q",0.25,0.062523411237841,3.89312858265657e-10,0.00483609540905307,28.275,30.334375,2.059375,19.7094786383986,320,"REJECTED"
"4","212T",0.25,0.0117825587043741,4.53920399060344e-15,0.00167224193176551,29.35,31.5208333333333,2.17083333333333,18.8114472137836,480,"REJECTED"
"5","212X",0.25,1.69250084352087e-06,4.56752105868137e-43,2.69443991046722e-06,32.7446657183499,35.5633001422475,2.81863442389758,21.984283479949,1406,"REJECTED"
"6","212Y",0.25,3.30834395213283e-07,1.12051993885954e-13,0.994409521764899,33.0629921259843,47.1732283464567,14.1102362204724,29.4890962755746,127,"NOT REJECTED"
"7","212Z",0.25,0.681488655456825,0.00763432290653251,0.050311657572402,26.2898550724638,27.231884057971,0.942028985507246,18.9836493562618,69,"NOT REJECTED"
"8","222K",0.25,0.104415401568218,1.60621064086618e-08,0.00766704794021238,16.3962264150943,17.6,1.20377358490566,12.0263278461754,265,"REJECTED"
"9","222L",0.25,0.0164012468693228,0.000301437213932219,5.29414791106626e-16,21.7850637522769,20.4207650273224,-1.36429872495446,13.279088731748,549,"REJECTED"
"10","222M",0.25,0.0796724603760203,0.00186007462086022,0.679844413717263,13.5172413793103,16.7586206896552,3.24137931034483,9.5978240555339,29,"NOT REJECTED"
"11","222R",0.25,0.000959173020494958,7.25678488863711e-13,0.22598000486041,26.9850746268657,30.9328358208955,3.94776119402985,19.3529477529723,268,"NOT REJECTED"
