"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,4.18783972982726e-76,1,2.29656801229021e-136,0.302020110817845,0.113252845247132,-0.188767265570713,0.206528613800206,562,"NOT REJECTED"
"2","acernegu",0.5,0.00547816947557705,0.0436399902434567,4.29102705119301e-11,0.176949205765785,0.126531312018772,-0.0504178937470128,0.16201087026385,84,"REJECTED"
"3","acerrubr",0.5,0.880738588878805,4.7756156409473e-50,1.05093172472193e-51,0.156050062605716,0.155416757225772,-0.000633305379944687,0.133649114996511,1003,"REJECTED"
"4","acersacc",0.5,0.000183495240185978,4.25940920604989e-67,5.01790625661021e-28,0.167969092298511,0.186122850593844,0.0181537582953332,0.145389219341288,905,"REJECTED"
"5","betualle",0.5,0.00698131003882024,3.15760173335435e-16,0.000253250364299304,0.090850604473286,0.111346306713905,0.0204957022406192,0.094239890681271,158,"REJECTED"
"6","betupapy",0.5,1.02039617778965e-05,0.00559634148745876,1.77170032288214e-24,0.132714256716039,0.0971511762233271,-0.0355630804927119,0.111342390262446,201,"REJECTED"
"7","carycord",0.5,0.721126853520423,5.75554210461043e-07,1.02185136129338e-05,0.102153781337044,0.105954151030816,0.00380036969377186,0.102910962498102,94,"REJECTED"
"8","caryovat",0.5,0.532190638748763,0.000251380767095777,2.8618535999723e-06,0.102247802264544,0.096000660165845,-0.00624714209869936,0.0850345265372163,73,"REJECTED"
"9","fraxamer",0.5,8.77555729756881e-05,0.00195891814716408,3.1419216540946e-22,0.129671907948797,0.0945591370387359,-0.0351127709100614,0.121394335694693,192,"REJECTED"
"10","fraxnigr",0.5,0.807341807970608,1.65043719379249e-18,5.76863659632001e-17,0.155426975562639,0.157058878190743,0.00163190262810399,0.120358261189273,324,"REJECTED"
"11","fraxpenn",0.5,0.473375218905281,8.94175664747773e-07,1.04959628669707e-09,0.123014240381943,0.114926787493626,-0.00808745288831699,0.12872512119555,131,"REJECTED"
"12","l_inconi",0.5,0.735194549596345,0.0669142708589997,0.019340078415551,0.166410372300162,0.160459057405805,-0.005951314894357,0.0668022887916294,15,"NOT REJECTED"
"13","l_inhard",0.5,0.772771377683653,0.131997366869058,0.054884374642395,0.171277886144464,0.161456145123006,-0.00982174102145709,0.0986406672669211,9,"NOT REJECTED"
"14","l_tohard",0.5,0.127128604355401,3.37084211804078e-06,0.0286642437230979,0.0767738084980108,0.0947170711029718,0.017943262604961,0.0809072541442191,49,"REJECTED"
"15","larilari",0.5,0.135445632739849,3.8901246261918e-05,4.41846377623484e-11,0.204990353212984,0.18187263708226,-0.0231177161307242,0.171993791836331,125,"REJECTED"
"16","ostrvirg",0.5,1.12332204995735e-42,0.999999999909728,1.13350680889288e-79,0.152168087852537,0.0572545967201729,-0.0949134911323644,0.110926191021026,342,"NOT REJECTED"
"17","piceglau",0.5,0.0550797946440009,0.00103991889278033,1.1079814336139e-10,0.146312669672717,0.123188773443264,-0.0231238962294533,0.121538293213958,104,"REJECTED"
"18","picemari",0.5,4.65992837964441e-13,0.939958095991638,2.06436442989783e-30,0.238718296377781,0.15205262198149,-0.0866656743962915,0.138987189605939,160,"NOT REJECTED"
"19","pinubank",0.5,1.3067952313645e-07,0.797880237199753,5.291470687722e-18,0.251484582860703,0.162397560207943,-0.0890870226527594,0.15203556351227,95,"NOT REJECTED"
"20","pinuresi",0.5,1.73364013252441e-08,5.08021367048175e-29,0.0964348831637154,0.278230501977999,0.350182242745921,0.0719517407679227,0.175931182846749,206,"NOT REJECTED"
"21","pinustro",0.5,0.060917609778803,6.74704761611516e-21,4.56479462621535e-10,0.217658134948275,0.241175670359047,0.0235175354107723,0.205715552838649,271,"REJECTED"
"22","popugran",0.5,0.0034159630123046,0.0018139643128374,1.18199707383498e-15,0.210709532490732,0.155184735662209,-0.055524796828523,0.221365293351907,141,"REJECTED"
"23","poputrem",0.5,1.46857339449439e-50,0.999989570044171,1.64922512420912e-114,0.322788749139492,0.185109490590321,-0.137679258549172,0.203706461074283,595,"NOT REJECTED"
"24","prunsero",0.5,1.86048210967004e-12,0.182229616428122,2.86199388656127e-40,0.115634320108659,0.067922608237719,-0.04771171187094,0.10716417292999,275,"NOT REJECTED"
"25","queralba",0.5,1.33696380596218e-12,1.63592264135252e-32,0.779352540957076,0.0779884836290005,0.149953683627938,0.0719651999989377,0.129333930670046,187,"NOT REJECTED"
"26","querelli",0.5,0.468111305643503,3.28403313085474e-11,5.73702613597402e-08,0.144195548624538,0.152453656497749,0.00825810787321076,0.142718996252413,158,"REJECTED"
"27","quermacr",0.5,0.818375514833201,1.11941259541522e-05,5.87235417088911e-05,0.129933597553323,0.134061104172466,0.00412750661914271,0.154063468805177,74,"REJECTED"
"28","querrubr",0.5,5.56233079008537e-05,8.59500003595505e-29,1.50922305280095e-05,0.185168810357363,0.223568617263674,0.0383998069063108,0.156378117388883,278,"REJECTED"
"29","quervelu",0.5,0.0673218934711398,0.00358462433876686,3.19245954727773e-09,0.205352643156193,0.168476421590664,-0.036876221565529,0.183427387486384,85,"REJECTED"
"30","s_inhard",0.5,0.0108570906847514,3.73475136860752e-09,0.0820955711110927,0.0291064451118547,0.0444732477104067,0.0153668025985519,0.047216801821888,65,"NOT REJECTED"
"31","s_tohard",0.5,0.00275715707048058,0.568246218243974,1.58324474111983e-07,0.0773120691945355,0.0318099999540023,-0.0455020692405332,0.0861023633755428,37,"NOT REJECTED"
"32","thujocci",0.5,1.51795565020629e-31,8.89733989085201e-49,0.999999999999968,0.128293461954079,0.351410204716943,0.223116742762864,0.195929207977919,165,"NOT REJECTED"
"33","tiliamer",0.5,0.0819893202437222,1.21220015124631e-23,1.24127487697096e-12,0.14570892717344,0.161019621983524,0.0153106948100841,0.158450224665037,326,"REJECTED"
"34","tsugcana",0.5,3.11526902469393e-07,1.01599636973064e-20,0.390714413514127,0.151735016442644,0.247772337026665,0.0960373205840215,0.20196283144175,129,"NOT REJECTED"
"35","ulmuamer",0.5,0.0754572675822212,3.15416545258624e-10,1.8147826210402e-20,0.132132373883947,0.111472480834294,-0.0206598930496534,0.189873016048854,269,"REJECTED"
