"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.25,0.123870030007143,1.57010225822411e-13,6.90839999779169e-06,23.2081850533808,24.2864768683274,1.07829181494662,16.587828965967,562,"REJECTED"
"2","acernegu",0.25,0.0937692682698573,0.276398824226552,7.1766790225753e-05,11.4047619047619,9.57142857142857,-1.83333333333333,9.91145538209019,84,"NOT REJECTED"
"3","acerrubr",0.25,2.99991342132133e-14,9.73643079412089e-50,0.418231986881078,11.4945164506481,14.3728813559322,2.87836490528415,11.8217449309322,1003,"NOT REJECTED"
"4","acersacc",0.25,0.000180111881367811,9.04923016677113e-05,5.19616095036366e-28,12.6718232044199,11.7281767955801,-0.943646408839779,7.54793867767317,905,"REJECTED"
"5","betualle",0.25,0.0218978132097687,9.22994509646442e-08,0.204669860912235,5.45569620253165,7.37341772151899,1.91772151898734,10.4118778263577,158,"NOT REJECTED"
"6","betupapy",0.25,0.389509197512526,8.55063077572971e-06,0.00396528862268395,9.84577114427861,10.4278606965174,0.582089552238806,9.56945545012569,201,"REJECTED"
"7","carycord",0.25,0.408780454965247,0.000794479810034585,0.0571593745385829,8.08510638297872,8.51063829787234,0.425531914893617,4.97194140421299,94,"NOT REJECTED"
"8","caryovat",0.25,0.565748077891028,0.00416803473816063,0.0616890252817981,7.13698630136986,7.49315068493151,0.356164383561644,5.27407143752891,73,"NOT REJECTED"
"9","fraxamer",0.25,0.149873122021985,9.74843212330986e-07,0.0224791286134965,11.3385416666667,12.21875,0.880208333333333,8.43585118981387,192,"REJECTED"
"10","fraxnigr",0.25,3.67784854528396e-05,9.5688920489893e-17,0.376539029805032,13.8858024691358,16.6913580246914,2.80555555555556,12.0664760887858,324,"NOT REJECTED"
"11","fraxpenn",0.25,0.280401380706045,6.48545349297146e-05,0.0389163148910261,9.91603053435115,10.5190839694656,0.603053435114504,6.36780289281461,131,"REJECTED"
