"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,1.09108299804037e-82,1,1.54994563335856e-142,14.0663835006279,10.1294610117425,-3.93692248888546,4.06707847607305,562,"NOT REJECTED"
"2","acernegu",0.5,0.120025575777412,1.28195751700054e-08,0.00172090308305607,15.5978906177937,17.0482165040874,1.45032588629365,8.46203227489895,84,"REJECTED"
"3","acerrubr",0.5,0.2760897365565,5.20342347951923e-57,5.54364750374204e-45,17.1020490967977,17.3335759770668,0.231526880269082,6.72866695227745,1003,"REJECTED"
"4","acersacc",0.5,4.35415556010796e-26,1.16054960782751e-111,1.90428409680483e-05,15.3628733416485,18.2989095354057,2.93603619375715,8.10156936527734,905,"REJECTED"
"5","betualle",0.5,5.18196363119026e-05,5.00089893697455e-20,0.0176682418467373,18.3217027036492,21.2417585008296,2.92005579718039,8.81880641030299,158,"REJECTED"
"6","betupapy",0.5,0.0947778125493616,8.94798841345107e-08,3.96769254739449e-16,17.4012727399021,16.7744033304362,-0.626869409465818,5.29431056716497,201,"REJECTED"
"7","carycord",0.5,0.111695445623297,2.43928409764762e-09,0.000824621844976077,16.1367989634479,17.4188927325344,1.28209376908654,7.74063354705189,94,"REJECTED"
"8","caryovat",0.5,0.198383084434679,2.07227703607285e-07,0.00199947018136635,16.3616889077635,17.4341328584471,1.07244395068361,7.05854692215715,73,"REJECTED"
"9","fraxamer",0.5,0.6377350623578,4.3183062535371e-10,2.10685650501966e-12,16.7997559937242,16.5817038143268,-0.218052179397405,6.40644616506829,192,"REJECTED"
"10","fraxnigr",0.5,0.220001337521081,9.25245418463516e-22,5.23209602973764e-14,14.3522056469147,14.7349091497342,0.382703502819447,5.6055215187472,324,"REJECTED"
"11","fraxpenn",0.5,0.413126490085228,1.38934815837495e-06,6.296257843306e-10,15.9321288555094,15.5482049485914,-0.383923906918007,5.35200381995891,131,"REJECTED"
"12","l_inconi",0.5,0.025602624916442,0.708084873644682,0.00028341358995589,19.5721527777778,17.8445980578898,-1.72755471988796,2.67927030138933,15,"NOT REJECTED"
"13","l_inhard",0.5,0.120193545319611,0.591511249540325,0.00594609021095447,14.3818713450292,13.1424617283951,-1.23940961663418,2.13791709502469,9,"NOT REJECTED"
"14","l_tohard",0.5,0.000604054207450717,2.00344486096826e-09,0.567968040211618,13.650234403029,18.2460763551452,4.59584195211623,8.7608413923793,49,"NOT REJECTED"
"15","larilari",0.5,0.00112930883379636,0.0129050124814758,2.4806374184208e-15,15.1012312492988,13.2648897497024,-1.83634149959644,6.15809285272167,125,"REJECTED"
"16","ostrvirg",0.5,7.41245556221049e-59,1,9.60709612678507e-95,10.0960843068937,6.27714247108056,-3.81894183581313,3.55657688336892,342,"NOT REJECTED"
"17","piceglau",0.5,0.154467317872606,0.000196798008690764,1.24610054654085e-09,21.6862989195818,20.5396102499243,-1.1466886696575,8.1521207043078,104,"REJECTED"
"18","picemari",0.5,3.29973102579132e-05,0.0209687580941764,1.72094190413657e-20,12.6264363415696,11.3645204127616,-1.26191592880795,3.73482997717065,160,"REJECTED"
"19","pinubank",0.5,9.26266224854324e-18,0.999999942016475,6.55453858960153e-28,21.4130451556746,17.0845308938434,-4.32851426183122,3.97560375012339,95,"NOT REJECTED"
"20","pinuresi",0.5,6.44619641079979e-07,9.49976882772063e-27,0.0214075479460903,24.6350578246615,27.0187128860847,2.38365506142326,6.65839336105226,206,"REJECTED"
"21","pinustro",0.5,0.000529494864099211,2.76572389250858e-26,1.86605525368067e-06,22.5225808781112,24.9268380012873,2.40425712317612,11.2838918151979,271,"REJECTED"
"22","popugran",0.5,3.96747209567547e-05,0.0463628524630584,7.27945395538734e-19,18.3247083263217,16.3950465569419,-1.92966176937976,5.39850020624323,141,"REJECTED"
"23","poputrem",0.5,3.19804532317716e-44,0.998518983895798,1.17487457612763e-107,18.5814149423704,15.4881660862688,-3.09324885610158,4.97041753131422,595,"NOT REJECTED"
"24","prunsero",0.5,0.147518432818082,2.59194744610696e-11,9.33011889766257e-20,13.9690844398274,13.4322336801347,-0.536850759692769,6.12937652772368,275,"REJECTED"
"25","queralba",0.5,1.87054154349511e-21,6.7143337658487e-42,0.999949722468533,18.3923413611328,27.9815667964036,9.58922543527083,12.1275858286619,187,"NOT REJECTED"
"26","querelli",0.5,0.305419891001783,6.27821996912241e-12,2.36208780404178e-07,17.7433416759743,18.4947949589986,0.751453283024231,9.1862298629428,158,"REJECTED"
"27","quermacr",0.5,0.452945280015051,1.53733244609628e-06,0.000342973337209159,21.4030848705849,22.1501546482945,0.747069777709604,8.51702571875397,74,"REJECTED"
"28","querrubr",0.5,0.0806099110446092,6.79314255452671e-21,1.15094041051862e-10,28.4752030706104,29.6431221008907,1.16791903028027,11.1048210650425,278,"REJECTED"
"29","quervelu",0.5,0.42237137312373,2.84600992151159e-07,0.000134872509083826,23.0081871685348,23.9535307954768,0.945343626941959,10.809998148718,85,"REJECTED"
"30","s_inhard",0.5,0.000789817297788516,9.79800027747056e-11,0.307028087512491,4.02277507808418,5.28243551892552,1.25966044084134,2.88157767121064,65,"NOT REJECTED"
"31","s_tohard",0.5,0.00605422112681096,0.450805231502073,3.95079095862696e-07,7.46437753084095,5.48608944658945,-1.9782880842515,4.12545579007792,37,"NOT REJECTED"
"32","thujocci",0.5,1.18092531621115e-39,6.37969751563659e-56,1,12.846983161676,22.4705873262469,9.62360416457092,7.01861913995641,165,"NOT REJECTED"
"33","tiliamer",0.5,1.15450141268084e-14,1.33841287096055e-47,0.175990180315296,20.5842076233048,24.7613429829341,4.17713535962923,9.31614098219258,326,"NOT REJECTED"
"34","tsugcana",0.5,3.2226486257529e-13,2.02723247278002e-27,0.992161865377352,20.2453664974694,27.6343220598738,7.38895556240439,10.3251437651806,129,"NOT REJECTED"
"35","ulmuamer",0.5,0.0756729040001905,3.13049882645691e-10,1.83251951266481e-20,16.8305403881314,15.7871533217252,-1.04338706640622,9.59627844240703,269,"REJECTED"
