SUBKEY,LUMAPCODE,TIMESTEP
55_75_20088_3,1,5
55_41_20210_1,2,5
55_125_20457_1,3,5
55_3_20588_2,4,5
55_31_20001_1,5,5
55_113_20591_2,6,5
55_67_20466_4,7,5
55_99_20416_2,8,5
55_99_20022_3,9,5
55_31_20591_4,10,5
55_69_20389_2,11,5
55_31_20638_4,12,5
55_51_20231_1,13,5
55_113_29025_2,14,5
55_125_20379_4,15,5
55_113_20200_4,16,5
55_69_20438_4,17,5
55_67_20016_3,18,5
55_31_20672_2,19,5
55_7_20167_2,20,5
55_7_20708_1,21,5
55_7_20283_2,22,5
55_3_20146_1,23,5
55_3_20529_3,24,5
55_41_29079_4,25,5
55_3_20198_4,26,5
55_67_20343_2,27,5
55_99_20548_3,28,5
55_51_20205_2,29,5
55_85_20659_4,30,5
55_3_20214_2,31,5
55_119_20128_4,32,5
55_3_20297_3,33,5
55_41_20097_4,34,5
55_99_20496_4,35,5
55_3_20246_2,36,5
55_85_20634_2,37,5
55_51_20187_1,38,5
55_85_20261_2,39,5
55_67_20350_3,40,5
55_31_20572_4,41,5
55_3_20528_4,42,5
55_125_20003_1,43,5
55_75_20410_3,44,5
55_125_20283_4,45,5
55_85_20558_2,46,5
55_51_20091_4,47,5
55_83_20030_1,48,5
55_41_20390_4,49,5
55_83_20279_1,50,5
55_41_29034_3,51,5
55_125_20261_3,52,5
55_51_20059_1,53,5
55_67_20443_4,54,5
55_41_20324_4,55,5
55_73_20743_1,56,5
55_85_20439_1,57,5
55_41_20299_1,58,5
55_135_20077_3,59,5
55_83_20172_3,60,5
55_51_20214_1,61,5
55_7_20583_2,62,5
55_83_20108_2,63,5
55_129_20144_4,64,5
55_3_20330_2,65,5
55_3_20604_3,66,5
55_3_20004_3,67,5
55_119_20180_3,68,5
55_69_20384_1,69,5
55_3_20642_4,70,5
55_51_20228_2,71,5
55_75_20526_2,72,5
55_51_20316_3,73,5
55_41_20264_1,74,5
55_99_20532_1,75,5
55_67_20254_4,76,5
55_3_20585_4,77,5
55_113_20317_2,78,5
55_125_20265_2,79,5
55_51_20060_2,80,5
55_7_20039_4,81,5
55_75_20246_3,82,5
55_7_20681_3,83,5
55_85_20213_1,84,5
55_67_20446_4,85,5
55_99_20551_4,86,5
55_75_20188_1,87,5
55_69_20008_4,88,5
55_99_20464_1,89,5
55_85_20271_4,90,5
55_73_20645_4,91,5
55_125_20485_3,92,5
55_85_20189_2,93,5
55_51_20140_1,94,5
55_7_20706_2,95,5
55_13_20084_3,96,5
55_41_20321_1,97,5
55_3_20184_2,98,5
55_69_20415_1,99,5
55_85_20429_1,100,5
55_85_20660_3,101,5
55_37_20060_2,102,5
55_85_20479_4,103,5
55_113_20206_1,104,5
55_3_20001_3,105,5
55_31_20435_2,106,5
55_75_20730_2,107,5
55_75_20609_4,108,5
55_3_20630_2,109,5
55_83_20431_4,110,5
55_67_20130_3,111,5
55_37_20139_1,112,5
55_69_20396_1,113,5
55_75_20588_4,114,5
55_85_20022_1,115,5
55_119_20178_1,116,5
55_129_20221_3,117,5
55_41_20417_2,118,5
55_115_20314_3,119,5
55_99_20527_1,120,5
55_75_20679_3,121,5
55_85_20209_1,122,5
55_129_20405_1,123,5
55_69_20135_2,124,5
55_85_20586_3,125,5
55_7_29043_1,126,5
55_113_20550_3,127,5
55_37_20213_4,128,5
55_31_20410_2,129,5
55_41_20069_4,130,5
55_125_20021_1,131,5
55_75_20692_2,132,5
55_99_20486_2,133,5
55_99_20361_4,134,5
55_75_20266_2,135,5
55_31_20239_1,136,5
55_41_20131_3,137,5
55_83_20109_4,138,5
55_85_20631_3,139,5
55_67_20034_1,140,5
55_51_20395_1,141,5
55_51_20028_2,142,5
55_41_20343_4,143,5
55_78_20051_3,144,5
55_75_20420_2,145,5
55_7_20648_2,146,5
55_99_20526_1,147,5
55_125_20398_2,148,5
55_3_20041_3,149,5
55_89_20002_4,150,5
55_37_20249_3,151,5
55_107_20126_1,152,5
55_75_20584_4,153,5
55_41_29016_1,154,5
55_3_20002_2,155,5
55_3_20638_1,156,5
55_113_20474_2,157,5
55_41_20396_2,158,5
55_137_20205_4,159,5
55_3_20609_1,160,5
55_7_20203_1,161,5
55_51_20074_1,162,5
55_51_20425_3,163,5
55_51_20399_3,164,5
55_67_20392_3,165,5
55_37_20228_2,166,5
55_85_20417_1,167,5
55_85_20579_2,168,5
55_13_20420_1,169,5
55_85_20575_3,170,5
55_113_20147_2,171,5
55_7_20519_1,172,5
55_31_20657_2,173,5
55_85_20227_1,174,5
55_99_29025_2,175,5
55_125_20505_3,176,5
55_83_20457_2,177,5
55_113_20223_3,178,5
55_99_20541_1,179,5
55_85_20032_1,180,5
55_99_20358_2,181,5
55_41_20236_3,182,5
