"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,2.0661850856853e-84,1,1.85845752417779e-146,0.315285206498204,0.116846100412641,-0.198439106085563,0.206954941001201,582,"NOT REJECTED"
"2","acernegu",0.5,0.662967162106349,0.000205856673363595,9.79564501049951e-06,0.113543965284818,0.107508199275983,-0.00603576600883528,0.114537509318545,69,"REJECTED"
"3","acerrubr",0.5,0.0221234404656209,1.58096459886042e-37,2.19681178651891e-62,0.153967137695986,0.144288547973738,-0.00967858972224853,0.131725388190191,973,"REJECTED"
"4","acersacc",0.5,0.00947851680437798,5.17434206808318e-62,2.05681119281511e-34,0.16830062885341,0.180388497299341,0.0120878684459316,0.142103058889291,934,"REJECTED"
"5","betualle",0.5,0.0358314480592207,2.11668263504935e-15,9.4221807427054e-06,0.0928394405810031,0.108361927942395,0.0155224873613923,0.0956581187987284,170,"REJECTED"
"6","betupapy",0.5,6.10724025368548e-06,0.000691728814596161,2.52440144384103e-28,0.121920806932555,0.0930146712945735,-0.028906135637982,0.0982651040926196,247,"REJECTED"
"7","carycord",0.5,0.387217644562974,3.34762848483084e-08,4.16667753136865e-05,0.0995259011984829,0.108984435994367,0.00945853479588453,0.108354939218568,99,"REJECTED"
"8","caryovat",0.5,0.619836173545749,0.000132272451030198,3.61293344344094e-06,0.096708861404614,0.0916237246633733,-0.00508513674124069,0.0883993232593333,75,"REJECTED"
"9","fraxamer",0.5,0.00274425078341615,6.8215563719081e-05,2.14554323792873e-19,0.114800696430409,0.0916934687253087,-0.0231072277051001,0.105511499164117,192,"REJECTED"
"10","fraxnigr",0.5,0.546034119469057,1.66324826445268e-16,2.09454226248814e-20,0.151923117303346,0.147625026458306,-0.00429809084504012,0.130756497247046,338,"REJECTED"
"11","fraxpenn",0.5,0.489226312232044,6.50367089956483e-07,9.25098735310014e-10,0.133686837739915,0.125254355198845,-0.00843248254106984,0.140231890423279,133,"REJECTED"
