"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,8.55131473288806e-78,1,7.12929213947251e-139,0.266978669807735,0.118056077640391,-0.148922592167344,0.162027476182031,570,"NOT REJECTED"
"2","acernegu",0.5,0.193416588874656,6.42343840222545e-07,0.00423451520693171,0.0912208067537654,0.108923866536715,0.0177030597829491,0.10859030408897,65,"REJECTED"
"3","acerrubr",0.5,5.02622219992449e-05,9.20402057865542e-66,1.02778068620899e-24,0.127084129142447,0.145332156077085,0.0182480269346374,0.130701154890899,852,"REJECTED"
"4","acersacc",0.5,1.90994772126567e-21,1.16875841528468e-103,1.1285701970882e-07,0.137974409079559,0.183319286776914,0.0453448776973547,0.139179404808228,897,"REJECTED"
"5","betualle",0.5,0.00325875181138778,5.94691738219464e-14,0.0089073423536193,0.0828768118492448,0.105792682827548,0.0229158709783027,0.0824967809124007,117,"REJECTED"
"6","betupapy",0.5,0.0641386667171351,6.20323814847009e-07,6.58271028633572e-16,0.106828187655894,0.0945288003580739,-0.0122993872978201,0.0908016007918042,189,"REJECTED"
"7","carycord",0.5,0.050352037152388,1.04238765189784e-08,0.0118210348765463,0.0861492950346627,0.116290804406533,0.0301415093718699,0.130304021851935,74,"REJECTED"
"8","caryovat",0.5,0.312298065785485,3.48718344079338e-06,0.00270648564356316,0.0738072773900861,0.0821270651453226,0.00831978775523648,0.063768525545873,61,"REJECTED"
"9","fraxamer",0.5,0.158113230967896,3.72615722910188e-07,1.04353110767854e-13,0.100178901055594,0.0893981943190114,-0.0107807067365823,0.099733975121675,172,"REJECTED"
"10","fraxnigr",0.5,0.00182365971389828,3.20365916378373e-27,2.77602506035688e-08,0.124449049130699,0.147282146079883,0.0228330969491846,0.126571007500636,304,"REJECTED"
"11","fraxpenn",0.5,0.130826963140844,9.45661285085405e-11,7.10542666145429e-05,0.106112558662679,0.124888916240988,0.0187763575783083,0.134627123184582,119,"REJECTED"
"12","l_inconi",0.5,0.639691167750592,0.0834525840374835,0.0149977233631761,0.150534857424021,0.139499947045402,-0.0110349103786194,0.0893194281083285,15,"NOT REJECTED"
"13","l_inhard",0.5,0.430600295423527,0.0197434976710638,0.234497102902927,0.159642465426472,0.227401702591812,0.0677592371653404,0.259670489833244,10,"NOT REJECTED"
"14","l_tohard",0.5,0.627603733261457,0.000438559385772948,0.00607843859882488,0.0984545534165805,0.104422277292412,0.00596772387583178,0.0762027506205273,39,"REJECTED"
"15","larilari",0.5,0.57530160132769,2.47770781173423e-06,0.000148016281488409,0.151033234584388,0.160724012079743,0.00969077749535517,0.150131052315776,76,"REJECTED"
"16","ostrvirg",0.5,1.18470309247238e-38,0.999999999056162,2.45509750445902e-72,0.138046806243109,0.0515398245542044,-0.0865069816889043,0.101642440011072,311,"NOT REJECTED"
"17","piceglau",0.5,0.731937120511922,6.2547132616372e-05,5.04576633706205e-06,0.139830840614669,0.134451736688714,-0.00537910392595514,0.137288562297739,77,"REJECTED"
"18","picemari",0.5,2.16564501237561e-08,0.375060089656886,1.70242060155292e-24,0.205348759682693,0.14289160717791,-0.0624571525047835,0.131662479388748,155,"NOT REJECTED"
"19","pinubank",0.5,0.629249288557628,3.50186592280705e-05,8.21770067252713e-07,0.196248034907417,0.185871602327324,-0.0103764325800931,0.199754623206599,87,"REJECTED"
"20","pinuresi",0.5,8.30805188338485e-13,1.96997183656049e-30,0.91687036107151,0.246364755941112,0.344800326323669,0.0984355703825561,0.161656301972266,163,"NOT REJECTED"
"21","pinustro",0.5,0.00395420220625546,2.50611002563635e-21,3.4534880660384e-06,0.175735115324768,0.21553212921946,0.0397970138946926,0.205462351723031,226,"REJECTED"
"22","popugran",0.5,0.838721827613526,2.21284904213416e-09,1.66577512850804e-08,0.173699658392722,0.176506136208905,0.00280647781618307,0.166315425111846,146,"REJECTED"
"23","poputrem",0.5,1.27481608982373e-05,2.99439401280879e-11,9.16130806323314e-45,0.220265281337751,0.18703658414742,-0.0332286971903302,0.167329528088503,493,"REJECTED"
"24","prunsero",0.5,1.09675985864086e-05,0.000293499508638625,2.15137099919029e-28,0.0952637539744235,0.0685057539727474,-0.026758000001676,0.0950396561740537,254,"REJECTED"
"25","queralba",0.5,3.65616294670456e-17,7.14488172493113e-33,0.999806346161561,0.05518315694239,0.159284913417876,0.104101756475486,0.129479115773397,143,"NOT REJECTED"
"26","querelli",0.5,0.721121729595064,8.95576584315753e-09,2.49054821360177e-07,0.133261470034527,0.136952303652645,0.00369083361811736,0.116720103344831,128,"REJECTED"
"27","quermacr",0.5,0.602496675909814,1.05875308804718e-05,0.00037422117781316,0.12487264359344,0.137101378096619,0.0122287345031793,0.189821228224776,66,"REJECTED"
"28","querrubr",0.5,0.000298309569216301,1.43202997081987e-22,0.000223781142697254,0.145867965437245,0.184246898461661,0.0383789330244158,0.151188377787164,210,"REJECTED"
"29","quervelu",0.5,0.744216599672536,3.69537611081287e-06,4.2412986477964e-05,0.172259219333013,0.178167470385304,0.00590825105229095,0.161398410189994,80,"REJECTED"
"30","s_inhard",0.5,0.00162753582460893,1.7085596288313e-10,0.21150031960857,0.04007503506624,0.079563283995871,0.0394882489296311,0.0983512569178104,67,"NOT REJECTED"
"31","s_tohard",0.5,0.39502339745505,0.0121298461429167,0.000110468170877502,0.0631215500577729,0.0509819404542297,-0.0121396096035433,0.0904064305699517,41,"REJECTED"
"32","thujocci",0.5,2.98678373039508e-22,1.03876189976735e-37,0.999999946624287,0.135699655690561,0.356164616189452,0.220464960498892,0.227661385219698,143,"NOT REJECTED"
"33","tiliamer",0.5,0.00256405114218589,1.78004359526932e-23,8.96874162895662e-07,0.137237283612866,0.165752823471357,0.0285155398584903,0.148597663433885,252,"REJECTED"
"34","tsugcana",0.5,7.45662266102083e-11,2.62642170914197e-23,0.968811918147552,0.129190164748525,0.245194986831992,0.116004822083467,0.171330597289507,113,"NOT REJECTED"
"35","ulmuamer",0.5,0.172171950783964,5.0629101322537e-18,1.94676114174595e-10,0.105042623157425,0.119242555319606,0.0141999321621812,0.163649803102825,249,"REJECTED"
