"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,9.4560135682614e-78,1,7.83899479222554e-139,0.266229893245016,0.118282655889991,-0.147947237355025,0.161028256282286,570,"NOT REJECTED"
"2","acernegu",0.5,0.197505091537225,5.79287322032105e-07,0.00375108320522489,0.0925269841316622,0.108974199479638,0.016447215347976,0.102623553136227,66,"REJECTED"
"3","acerrubr",0.5,0.000920083062415824,1.35082501481689e-60,2.85706394391947e-27,0.129558799660975,0.144637918506481,0.0150791188455056,0.131172398022986,837,"REJECTED"
"4","acersacc",0.5,8.40552117125467e-21,4.0286911534298e-103,3.34246335437927e-08,0.138004913356384,0.182436300410187,0.0444313870538032,0.13932387109841,904,"REJECTED"
"5","betualle",0.5,0.000671829539515778,4.36081772867369e-15,0.0290997304249898,0.0816167579701579,0.108925564223311,0.0273088062531533,0.084512521639805,117,"REJECTED"
"6","betupapy",0.5,0.0717751542576332,4.48201201869963e-07,7.90578544841237e-16,0.105221738911066,0.093509451659163,-0.0117122872519035,0.089160341864479,190,"REJECTED"
"7","carycord",0.5,0.0652038017702564,1.70266102414057e-08,0.0087991284321923,0.0838735295617978,0.110936001936211,0.0270624723744129,0.12435501485335,74,"REJECTED"
"8","caryovat",0.5,0.477203872977398,9.0674159790622e-06,0.00102262066633,0.07580437587833,0.0811165936993739,0.00531221782104393,0.0584836101512779,62,"REJECTED"
"9","fraxamer",0.5,0.0778294226476698,3.13825607589316e-06,2.91547036893615e-14,0.102719183555698,0.0888750266554483,-0.0138441569002494,0.100519839565501,166,"REJECTED"
"10","fraxnigr",0.5,0.00122228389665444,8.96347275453754e-28,4.40908817056636e-08,0.124076570455005,0.148835668048278,0.024759097593273,0.132681831770333,306,"REJECTED"
"11","fraxpenn",0.5,0.228231209035678,5.10239260695378e-10,2.42274463094003e-05,0.110173051897988,0.125181180943489,0.015008129045501,0.134593816543988,118,"REJECTED"
"12","l_inconi",0.5,0.408951656247406,0.133976885976912,0.00608927169662779,0.149436677714543,0.134011777226485,-0.0154249004880579,0.0726295918141217,16,"NOT REJECTED"
"13","l_inhard",0.5,0.519542205226492,0.0254450489402188,0.193042929167365,0.181649871743583,0.227401702591812,0.0457518308482296,0.215869193049845,10,"NOT REJECTED"
"14","l_tohard",0.5,0.516626040261437,0.000235812542553565,0.00821068013087024,0.0953231467730176,0.102996529123102,0.00767338235008416,0.0741483994443177,40,"REJECTED"
"15","larilari",0.5,0.545168754217632,2.08144908761551e-06,0.000172258834511407,0.149156391328527,0.159725064953517,0.01056867362499,0.151593356829515,76,"REJECTED"
"16","ostrvirg",0.5,1.31120502306488e-36,0.999999979871487,1.84651872633423e-70,0.136248942615704,0.0517788781890376,-0.0844700644266667,0.103170263581905,312,"NOT REJECTED"
"17","piceglau",0.5,0.831417892698972,2.00606804276768e-05,3.9706633825069e-06,0.13317447824279,0.130002824408258,-0.00317165383453225,0.135300260555679,83,"REJECTED"
"18","picemari",0.5,7.86040938724031e-09,0.445042401130571,3.89509920651684e-25,0.203303128938848,0.142537528457597,-0.0607656004812517,0.124286079020187,156,"NOT REJECTED"
"19","pinubank",0.5,0.882157733141213,7.96263841565617e-06,2.48371789445693e-06,0.187938658969348,0.185295239093632,-0.0026434198757165,0.167745531447372,89,"REJECTED"
"20","pinuresi",0.5,7.87253815370873e-14,2.39401729061965e-32,0.944875768525078,0.236974628288832,0.339646971463575,0.102672343174743,0.164863282606668,171,"NOT REJECTED"
"21","pinustro",0.5,0.00697672479874537,1.10673776039699e-20,1.60913991429694e-06,0.176373975288924,0.21143164533077,0.035057670041846,0.19311273692576,225,"REJECTED"
"22","popugran",0.5,0.289473254162479,7.67874274733868e-12,3.7192593879143e-07,0.164668099063387,0.179169966614595,0.014501867551208,0.169856104576578,155,"REJECTED"
"23","poputrem",0.5,0.00010389691114857,1.54346929630294e-12,2.48353794895053e-42,0.217870452309824,0.187967554964963,-0.0299028973448607,0.169143421988431,490,"REJECTED"
"24","prunsero",0.5,3.20346041185358e-05,0.000109613419543501,1.28756657329036e-27,0.0954377471450321,0.0696803459538084,-0.0257574011912236,0.0971319095816472,255,"REJECTED"
"25","queralba",0.5,1.97312802262366e-12,4.3608253114357e-26,0.987160755814501,0.0596527893251846,0.162403629083854,0.102750839758669,0.146198730007179,124,"NOT REJECTED"
"26","querelli",0.5,0.966704121277362,3.17155553720505e-08,4.69293216253533e-08,0.131870768244165,0.132287368847932,0.000416600603767169,0.113572170798302,130,"REJECTED"
"27","quermacr",0.5,0.746823078861092,3.15356205764268e-05,0.000274859787419582,0.128569916214275,0.136410318299044,0.00784040208476936,0.19191027515315,63,"REJECTED"
"28","querrubr",0.5,0.000251258541843607,1.03407331289547e-22,0.000264188087666941,0.142582390600348,0.18112548387471,0.0385430932743618,0.14994304806425,210,"REJECTED"
"29","quervelu",0.5,0.977051740547831,1.84458394865454e-05,2.27610294879723e-05,0.17466440820074,0.175146773751886,0.000482365551145808,0.145701724372635,76,"REJECTED"
"30","s_inhard",0.5,0.000712095033069589,8.57864653582572e-11,0.318544616747036,0.0403876989190683,0.0837854848587134,0.043397785939645,0.0983623171079095,65,"NOT REJECTED"
"31","s_tohard",0.5,0.369954653348743,0.0135353993637392,9.57991004986029e-05,0.0634294644499303,0.0509819404542297,-0.0124475239957006,0.0878969872646156,41,"REJECTED"
"32","thujocci",0.5,2.08891217994183e-20,1.21086798865732e-35,0.999999131641811,0.141760548092173,0.357334529853302,0.215573981761129,0.233771183678998,140,"NOT REJECTED"
"33","tiliamer",0.5,0.0219290742736122,1.14483887686411e-20,4.32825954223457e-08,0.138430452666528,0.159775622767161,0.0213451701006329,0.144862194139563,245,"REJECTED"
"34","tsugcana",0.5,1.66900935555753e-11,1.04226457491725e-24,0.974321644002923,0.121417143358903,0.238374115246683,0.11695697188778,0.172076013025125,120,"NOT REJECTED"
"35","ulmuamer",0.5,0.113256532780792,1.41732207655573e-18,8.10209064280666e-10,0.104578706724796,0.121645531195083,0.0170668244702872,0.168760388300944,247,"REJECTED"
