MAPVALUE,PLT_KEY,ECO_PROVINCE
1,55_1_10349_2004_1,222R
2,55_1_10350_2004_1,222K
3,55_1_20001_2001_4,222R
4,55_1_20007_2002_2,222R
5,55_1_20012_2004_2,222R
6,55_1_20026_2001_1,222R
7,55_1_20029_2001_1,222R
8,55_1_20032_2000_4,222R
9,55_1_20040_2000_1,222R
10,55_1_20060_2002_4,222R
11,55_1_20061_2003_3,222R
12,55_1_20069_2000_3,222R
13,55_1_20071_2000_3,222R
14,55_1_20077_2001_1,222R
15,55_1_20092_2000_4,222R
16,55_1_20095_2003_4,222R
17,55_1_20103_2001_4,222R
18,55_1_20106_2000_3,222R
19,55_1_20125_2004_4,222R
20,55_1_20127_2002_3,222R
21,55_1_20130_2001_3,222R
22,55_1_20133_2003_1,222R
23,55_1_20153_2003_3,222R
24,55_1_20165_2004_3,222K
25,55_1_20166_2004_3,222R
26,55_1_20168_2002_3,222R
27,55_1_20179_2000_4,222R
28,55_1_20184_2001_4,222R
29,55_1_20193_2001_1,222R
30,55_1_20196_2000_2,222R
31,55_1_20204_2001_1,222R
32,55_1_20207_2003_4,222R
33,55_1_20208_2003_2,222R
34,55_1_20210_2003_1,222R
35,55_1_20215_2003_2,222R
36,55_1_20227_2004_3,222R
37,55_1_20229_2004_3,222R
38,55_1_20234_2001_4,222R
39,55_1_20237_2001_3,222R
40,55_1_20246_2000_1,222R
41,55_1_20248_2004_2,222R
42,55_1_20249_2001_4,222R
43,55_1_20252_2004_2,222R
44,55_1_20253_2002_2,222R
45,55_1_20255_2002_1,222R
46,55_1_20257_2002_2,222R
47,55_1_20259_2000_2,222R
48,55_1_20262_2000_2,222R
49,55_1_20264_2000_1,222R
50,55_1_20265_2000_2,222R
51,55_1_20267_2000_2,222R
52,55_1_20268_2001_4,222R
53,55_1_20271_2001_1,222K
54,55_1_20272_2001_1,222R
55,55_1_20273_2001_1,222R
56,55_1_20292_2002_1,222R
57,55_1_20293_2002_1,222R
58,55_1_20295_2002_1,222K
59,55_1_20299_2002_3,222R
60,55_1_20300_2002_4,222R
61,55_1_20303_2003_3,222R
62,55_1_20307_2003_2,222R
63,55_1_20312_2003_2,222R
64,55_1_20315_2003_4,222K
65,55_1_20336_2004_3,222R
66,55_1_20337_2004_4,222R
67,55_101_20073_2000_1,222K
68,55_101_20270_2001_4,222K
69,55_101_20285_2003_3,222K
70,55_103_20006_2004_4,222L
71,55_103_20007_2003_2,222L
72,55_103_20013_2002_3,222L
73,55_103_20035_2001_1,222L
74,55_103_20049_2001_4,222L
75,55_103_20075_2001_1,222L
76,55_103_20077_2001_4,222L
77,55_103_20085_2000_1,222L
78,55_103_20090_2002_3,222L
79,55_103_20096_2001_1,222L
80,55_103_20105_2000_1,222L
81,55_103_20108_2002_1,222L
82,55_103_20112_2002_1,222L
83,55_103_20128_2003_4,222L
84,55_103_20136_2004_2,222L
85,55_103_20143_2001_2,222L
86,55_103_20145_2000_4,222L
87,55_103_20149_2002_1,222L
88,55_103_20150_2002_4,222L
89,55_103_20152_2000_1,222L
90,55_103_20160_2002_3,222L
91,55_103_20167_2004_1,222L
92,55_103_20168_2004_2,222L
93,55_103_20178_2003_3,222L
94,55_103_20187_2002_3,222L
95,55_103_20192_2004_1,222L
96,55_103_20213_2001_1,222L
97,55_103_20219_2004_4,222L
98,55_103_20222_2004_1,222L
99,55_103_20223_2000_4,222L
100,55_103_20224_2004_2,222L
101,55_103_20231_2000_3,222L
102,55_103_20235_2000_3,222L
103,55_103_20251_2002_1,222L
104,55_103_20254_2002_4,222L
105,55_103_20256_2002_4,222L
106,55_103_20262_2003_1,222L
107,55_103_20263_2003_1,222L
108,55_103_20265_2003_2,222L
109,55_103_20268_2003_3,222L
110,55_105_20003_2000_2,222K
111,55_105_20006_2001_3,222K
112,55_105_20058_2002_1,222K
113,55_105_20101_2000_3,222K
114,55_105_20106_2001_4,222K
115,55_105_20144_2004_2,222K
116,55_105_20198_2000_3,222K
117,55_105_20221_2001_2,222K
118,55_105_20266_2004_2,222K
119,55_105_20281_2000_4,222K
120,55_105_20285_2000_2,222K
121,55_105_20296_2001_3,222K
122,55_105_20312_2001_2,222K
123,55_105_20328_2003_1,222K
124,55_105_20355_2004_2,222K
125,55_107_10485_2004_1,212X
126,55_107_20001_2002_4,212X
127,55_107_20012_2002_3,212X
128,55_107_20020_2002_1,212X
129,55_107_20038_2000_4,212X
130,55_107_20039_2001_3,212X
131,55_107_20043_2001_3,212X
132,55_107_20052_2000_1,212X
133,55_107_20055_2000_3,212X
134,55_107_20060_2001_1,212X
135,55_107_20062_2004_1,212X
136,55_107_20068_2000_1,212X
137,55_107_20073_2004_1,212X
138,55_107_20074_2003_1,212X
139,55_107_20081_2002_2,212X
140,55_107_20089_2003_2,212Q
141,55_107_20090_2003_1,212X
142,55_107_20101_2004_2,212X
143,55_107_20107_2001_1,212X
144,55_107_20116_2003_1,212X
145,55_107_20126_2004_1,212X
146,55_107_20135_2003_4,212X
147,55_107_20138_2002_3,212X
148,55_107_20155_2002_4,212X
149,55_107_20164_2001_2,212X
150,55_107_20166_2004_3,212X
151,55_107_20168_2003_4,212X
152,55_107_20172_2000_4,212X
153,55_107_20180_2004_4,212X
154,55_107_20184_2003_4,212X
155,55_107_20188_2004_3,212X
156,55_107_20192_2002_4,212X
157,55_107_20203_2004_2,212X
158,55_107_20210_2000_2,212X
159,55_107_20214_2002_4,212X
160,55_107_20224_2001_4,212X
161,55_107_20225_2003_3,212X
