SUBKEY,LUMAPCODE,TIMESTEP
55_119_20148_3,1,5
55_3_20367_1,2,5
55_73_20335_4,3,5
55_99_20416_2,4,5
55_125_20176_4,5,5
55_7_20283_1,6,5
55_75_20609_4,7,5
55_85_20236_3,8,5
55_41_20304_3,9,5
55_31_20591_4,10,5
55_29_20035_4,11,5
55_69_20008_4,12,5
55_67_20446_4,13,5
55_37_20029_4,14,5
55_125_20049_3,15,5
55_125_20021_1,16,5
55_3_20319_3,17,5
55_67_20016_3,18,5
55_125_20502_4,19,5
55_7_20681_3,20,5
55_7_20283_2,21,5
55_125_29007_4,22,5
55_85_20261_2,23,5
55_3_20169_3,24,5
55_67_20443_4,25,5
55_75_20751_3,26,5
55_7_20414_1,27,5
55_37_20092_3,28,5
55_85_20213_1,29,5
55_99_20549_4,30,5
55_78_20051_3,31,5
55_85_20659_4,32,5
55_13_20009_4,33,5
55_119_20254_2,34,5
55_31_20239_1,35,5
55_113_20550_4,36,5
55_3_20004_3,37,5
55_125_20261_3,38,5
55_3_20001_2,39,5
55_31_20676_4,40,5
55_41_20390_3,41,5
55_83_20279_1,42,5
55_83_20107_3,43,5
55_75_20246_3,44,5
55_3_20001_3,45,5
55_85_20660_3,46,5
55_115_20352_2,47,5
55_41_20356_4,48,5
55_129_20144_4,49,5
55_99_20464_1,50,5
55_69_20135_3,51,5
55_3_20054_1,52,5
55_85_20209_1,53,5
55_85_20634_2,54,5
55_31_20672_2,55,5
55_69_20135_2,56,5
55_99_20174_1,57,5
55_51_20028_2,58,5
55_119_20180_3,59,5
55_113_20550_3,60,5
55_7_20274_3,61,5
55_113_20144_4,62,5
55_3_20595_1,63,5
55_51_20187_1,64,5
55_37_20060_2,65,5
55_129_20405_1,66,5
55_83_20293_4,67,5
55_7_20583_2,68,5
55_37_20207_1,69,5
55_125_20270_1,70,5
55_3_20529_3,71,5
55_85_20631_3,72,5
55_41_20343_4,73,5
55_51_20214_1,74,5
55_69_20061_1,75,5
55_85_20634_1,76,5
55_3_20384_2,77,5
55_85_20479_4,78,5
