SUBKEY,LUMAPCODE,TIMESTEP
55_119_20148_3,1,5
55_73_20335_4,2,5
55_31_20239_1,3,5
55_7_20283_1,4,5
55_99_20416_2,5,5
55_3_20367_1,6,5
55_29_20035_4,7,5
55_125_20049_3,8,5
55_3_20169_3,9,5
55_37_20029_4,10,5
55_125_20176_4,11,5
55_85_20261_2,12,5
55_69_20008_4,13,5
55_125_20502_4,14,5
55_67_20446_4,15,5
55_31_20591_4,16,5
55_41_20304_3,17,5
55_125_20021_1,18,5
55_3_20319_3,19,5
55_75_20609_4,20,5
55_7_20283_2,21,5
55_67_20016_3,22,5
55_125_29007_4,23,5
55_37_20092_3,24,5
55_7_20414_1,25,5
55_7_20681_3,26,5
55_13_20009_4,27,5
55_67_20443_4,28,5
55_129_20405_1,29,5
55_78_20051_3,30,5
55_85_20659_4,31,5
55_75_20751_3,32,5
55_83_20293_4,33,5
55_3_20001_2,34,5
55_85_20660_3,35,5
55_3_20004_3,36,5
55_85_20213_1,37,5
55_113_20550_4,38,5
55_85_20634_2,39,5
55_41_20264_1,40,5
55_31_20676_4,41,5
55_41_20390_3,42,5
55_83_20279_1,43,5
55_83_20107_3,44,5
55_51_20028_2,45,5
55_75_20246_3,46,5
55_125_20270_1,47,5
55_41_20356_4,48,5
55_129_20144_4,49,5
55_99_20174_1,50,5
55_69_20135_3,51,5
55_85_20209_1,52,5
55_115_20352_2,53,5
55_31_20672_2,54,5
55_69_20135_2,55,5
55_99_20464_1,56,5
55_41_20343_4,57,5
55_113_20550_3,58,5
55_113_20144_4,59,5
55_3_20595_1,60,5
55_51_20187_1,61,5
55_69_20061_1,62,5
55_125_20261_3,63,5
55_85_20479_4,64,5
55_119_20180_3,65,5
55_7_20583_2,66,5
55_37_20207_1,67,5
55_119_20164_1,68,5
55_3_20529_3,69,5
55_73_20621_2,70,5
55_85_20631_3,71,5
55_99_20549_4,72,5
55_51_20214_1,73,5
55_83_20172_3,74,5
55_31_20410_2,75,5
55_7_20274_3,76,5
55_119_20075_1,77,5
55_67_20343_2,78,5
55_75_20692_2,79,5
55_67_20350_3,80,5
55_37_20060_2,81,5
55_85_20429_1,82,5
55_125_20283_4,83,5
55_41_20131_3,84,5
55_31_20572_4,85,5
55_3_20054_1,86,5
55_3_20146_1,87,5
