"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,4.1799489104995e-63,0,0,0.210851323395579,0.117184799180994,-0.0936665242145841,0.177400374582149,1144,"REJECTED"
"2","abiebals",0.5,4.1799489104995e-63,0,0,0.210851323395579,0.117184799180994,-0.0936665242145841,0.177400374582149,1144,"REJECTED"
"3","acernegu",0.5,4.31456871250693e-05,1.7301356349978e-81,3.0987390316428e-94,0.161911117473877,0.111715381377497,-0.050195736096379,0.150928919352112,160,"REJECTED"
"4","acerrubr",0.5,6.55932830985952e-23,0,0,0.174794188680508,0.143437501894084,-0.0313566867864246,0.1392579625056,1964,"REJECTED"
"5","acersacc",0.5,2.30605588157216e-23,0,0,0.21237718663993,0.181641773655189,-0.0307354129847406,0.132071819684829,1881,"REJECTED"
"6","betualle",0.5,0.382721128768422,9.78628127745777e-221,4.76970426754569e-223,0.107648574743103,0.10298601836661,-0.00466255637649312,0.0917613425354277,296,"REJECTED"
"7","betupapy",0.5,9.74209341352098e-16,1.66985281170244e-277,1.19485962961493e-313,0.138791753170622,0.0919935927216762,-0.0467981604489456,0.122098315327481,471,"REJECTED"
"8","carycord",0.5,0.642121227648706,6.15784657130882e-112,1.275441403344e-110,0.115569169110549,0.120032125053838,0.00446295594328916,0.129337117316205,182,"REJECTED"
"9","caryovat",0.5,0.00702962065226823,1.14580863094963e-127,4.95650286797837e-133,0.120649742640349,0.101915319815565,-0.0187344228247841,0.0897846870870933,171,"REJECTED"
"10","fraxamer",0.5,6.40696556500768e-09,2.00182081045203e-209,1.01246187373306e-233,0.140552980156887,0.100016696070085,-0.040536284086802,0.130969430017756,369,"REJECTED"
"11","fraxnigr",0.5,1.38448383283984e-05,0,0,0.170816211546992,0.149603997851736,-0.0212122136952557,0.125675427431831,673,"REJECTED"
"12","fraxpenn",0.5,0.000172760702007964,1.64281422896226e-126,1.81889075225261e-141,0.15892699200956,0.121336776167876,-0.0375902158416838,0.156492930394062,252,"REJECTED"
"13","l_inconi",0.5,0.00190862207392085,4.57386681869659e-21,5.19466979610992e-25,0.173281611392216,0.102992493559965,-0.070289117832251,0.123569337727184,35,"REJECTED"
"14","l_inhard",0.5,0.830629587636097,1.11169197349432e-09,2.5158260524733e-09,0.235773250468275,0.247223900897267,0.0114506504289913,0.253706467620027,23,"REJECTED"
"15","l_tohard",0.5,5.23902474596517e-05,3.67752627204154e-70,6.39124434237404e-76,0.126283393831449,0.0888904262893763,-0.0373929675420726,0.0844699436704622,92,"REJECTED"
"16","larilari",0.5,0.00508597052166457,6.2375219877259e-128,7.2645045060759e-139,0.193490499127816,0.165706959612814,-0.0277835395150023,0.155096512498818,249,"REJECTED"
"17","ostrvirg",0.5,1.12771000308821e-21,0,0,0.110823919379511,0.054074613155999,-0.056749306223512,0.146873824440495,658,"REJECTED"
