"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,2.02254001298608e-08,2.24559618968148e-28,5.17028745363233e-94,0.136629405172334,0.117043675856894,-0.0195857293154395,0.11740034089324,1147,"REJECTED"
"2","acernegu",0.5,6.95818594800826e-05,0.0147043616005521,7.98137170036834e-20,0.161973299509386,0.112098157988586,-0.0498751415207993,0.15339980911612,158,"REJECTED"
"3","acerrubr",0.5,2.84136445662439e-24,8.96142941408833e-33,2.26720828263085e-188,0.175744826282971,0.143997722618136,-0.0317471036648351,0.137960325689425,2003,"REJECTED"
"4","acersacc",0.5,4.22235208733539e-26,5.75643259732642e-28,3.61650316048212e-185,0.213144146063697,0.180903691305526,-0.032240454758171,0.131055393806769,1901,"REJECTED"
"5","betualle",0.5,0.475680267439028,1.44298354023565e-14,6.19351888936336e-19,0.109319500377316,0.105406794873582,-0.00391270550373431,0.0953681517358077,303,"REJECTED"
"6","betupapy",0.5,6.83486795319081e-18,0.0211825810859564,2.09638984370405e-65,0.14020076894507,0.0918529480993989,-0.048347820845671,0.118649051501965,484,"REJECTED"
"7","carycord",0.5,0.392856391950397,4.59442518053278e-13,6.16776970461835e-09,0.110365205563302,0.118065730317501,0.00770052475419889,0.12262366994828,186,"REJECTED"
"8","caryovat",0.5,0.00642981603779213,8.10237000167176e-05,1.86130734748759e-17,0.116692681873749,0.0992134402261424,-0.0174792416476064,0.083827637175858,175,"REJECTED"
"9","fraxamer",0.5,3.44170400417224e-09,0.000154339656992234,1.48918528690319e-43,0.139546830200085,0.099674522547108,-0.0398723076529772,0.127720895610952,376,"REJECTED"
"10","fraxnigr",0.5,1.7342430029774e-08,6.36108173266786e-13,4.06425641291723e-63,0.177196558655873,0.149867101397889,-0.0273294572579842,0.123967480827077,670,"REJECTED"
"11","fraxpenn",0.5,0.000188119329234868,2.31132347927219e-05,6.41075395101539e-26,0.158369833045773,0.12149534343693,-0.036874489608843,0.154417115463911,252,"REJECTED"
"12","l_inconi",0.5,0.00316724620278798,0.585724204628546,2.88393592501181e-07,0.167776935184543,0.102992493559965,-0.0647844416245785,0.12066653247178,35,"NOT REJECTED"
