"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,5.9439639184125e-71,0.983886254722691,1.17539652399861e-191,0.207926608392767,0.116888209362222,-0.0910383990305452,0.161652495369314,1152,"NOT REJECTED"
"2","acernegu",0.5,4.20345500608795e-05,0.0255758543663871,8.87710581406511e-20,0.168647269429323,0.115525993420641,-0.0531212760086824,0.155744344169966,153,"REJECTED"
"3","acerrubr",0.5,2.41251600458318e-20,4.95620188663937e-37,3.1896909348149e-178,0.173866033572027,0.144341543396321,-0.0295244901757061,0.14070572457147,1983,"REJECTED"
"4","acersacc",0.5,1.34361121251236e-22,1.00646300694777e-31,1.46365070924937e-177,0.21108307783019,0.181147619432505,-0.0299354583976852,0.131626291097869,1898,"REJECTED"
"5","betualle",0.5,0.686211604836975,7.2597735784854e-15,2.7459480596997e-17,0.108620771826351,0.106355471161199,-0.00226530066515187,0.0953904199767145,290,"REJECTED"
"6","betupapy",0.5,1.04864836414632e-18,0.0473861505624496,1.06327851424849e-65,0.141493684495837,0.0908025468259254,-0.0506911376699112,0.119807151595995,474,"REJECTED"
"7","carycord",0.5,0.826663720094952,2.94080227391392e-11,3.2849324544397e-10,0.114096111701352,0.116013238717838,0.00191712701648615,0.117936596658335,182,"REJECTED"
"8","caryovat",0.5,0.0163506544347338,4.8450240240897e-05,6.81274505899691e-16,0.119377631523169,0.10264204501585,-0.0167355865073188,0.0886120160410427,165,"REJECTED"
"9","fraxamer",0.5,2.64304481015476e-10,0.000778955899539251,2.63851858456253e-45,0.139918762396269,0.097855632119497,-0.0420631302767723,0.125405021113744,375,"REJECTED"
"10","fraxnigr",0.5,3.41177671442202e-06,4.26046497844334e-16,1.22619564101544e-57,0.174108047490142,0.150985165089555,-0.0231228824005866,0.12768847495564,669,"REJECTED"
"11","fraxpenn",0.5,7.83272249183049e-05,5.0004522358376e-05,8.27609721440975e-27,0.159862180871894,0.121036337771032,-0.0388258431008623,0.154110184197543,254,"REJECTED"
