"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,3.12719968625642e-180,1,2.89533022913271e-301,0.337171614054192,0.116807857416605,-0.220363756637587,0.21592818003163,1149,"NOT REJECTED"
"2","acernegu",0.5,2.67377569374907e-05,0.0248325252566322,1.48864479177821e-20,0.164334839596679,0.113259064517503,-0.0510757750791755,0.14885144523336,159,"REJECTED"
"3","acerrubr",0.5,7.16587238057746e-07,8.53525010650414e-61,2.61751212075956e-136,0.159971251522598,0.143685612354831,-0.0162856391677674,0.143897466141839,1931,"REJECTED"
"4","acersacc",0.5,0.00033134422990853,1.38088741955997e-118,2.24130942173764e-65,0.169599274043979,0.181978114312837,0.0123788402688581,0.146884189893441,1821,"REJECTED"
"5","betualle",0.5,0.0930052088846773,2.54700328165375e-23,1.02243834876656e-12,0.0948282130911286,0.103625839481285,0.00879762639015662,0.0939952397325712,324,"REJECTED"
"6","betupapy",0.5,2.33322186679971e-13,0.000580599030943002,2.1273305974694e-57,0.12613172457352,0.0889185333965501,-0.0372131911769699,0.10665367583332,468,"REJECTED"
"7","carycord",0.5,0.671790840635652,3.13138295625738e-12,3.7215172133708e-10,0.110673029336535,0.11437032462484,0.00369729528830545,0.120413963928642,191,"REJECTED"
"8","caryovat",0.5,0.985282625591224,5.42909965873666e-10,4.4643624228994e-10,0.100392931187656,0.100248847495377,-0.000144083692279662,0.101089070755808,168,"REJECTED"
"9","fraxamer",0.5,2.49297796839224e-06,1.18897778346369e-06,1.02628807004425e-37,0.131581920990335,0.0992902141607259,-0.0322917068296087,0.129302838792379,367,"REJECTED"
"10","fraxnigr",0.5,0.100695922935321,1.08282751371922e-26,2.59200447900358e-41,0.158681311682455,0.150549236798587,-0.00813207488386764,0.126222360096886,651,"REJECTED"
"11","fraxpenn",0.5,0.000413797678270455,8.92964270163758e-06,2.74231478986891e-25,0.154313898060024,0.119452983583241,-0.0348609144767828,0.154935867546945,253,"REJECTED"
"12","l_inconi",0.5,0.00233874678004857,0.628985469727744,2.05577782199311e-07,0.167479403920301,0.103036504723863,-0.0644428991964372,0.115884639341825,35,"NOT REJECTED"
"13","l_inhard",0.5,0.723800010487968,0.0300586632845739,0.00665507823125524,0.239356409180596,0.223056778087184,-0.0162996310934122,0.213458880551275,22,"REJECTED"
"14","l_tohard",0.5,0.0969930633824238,0.00132111471015305,2.77507344124437e-09,0.106491947098581,0.0898282109801554,-0.0166637361184255,0.0947838208573276,91,"REJECTED"
"15","larilari",0.5,0.481623924018489,1.5285999373015e-11,2.3379124279671e-15,0.176273169700888,0.168931378221562,-0.00734179147932635,0.160023408779783,236,"REJECTED"
"16","ostrvirg",0.5,3.71754785322736e-102,1,5.51950404265764e-172,0.167154175300827,0.0540827548488853,-0.113071420451941,0.11246459957996,660,"NOT REJECTED"
"17","piceglau",0.5,5.66938449655292e-07,0.0346880556920309,4.97321590885764e-26,0.171672166262941,0.117691136500408,-0.0539810297625337,0.146064520795274,196,"REJECTED"
