"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,1.8237167365327e-73,0.995402262994474,8.36991723463558e-194,37.6783216783217,24.8103146853147,-12.868006993007,22.2961273714065,1144,"NOT REJECTED"
"2","acernegu",0.5,0.00183368893500278,0.000958814294711863,1.62425388794672e-17,17.025,10.75,-6.275,25.0451039667318,160,"REJECTED"
"3","acerrubr",0.5,4.4350805532024e-08,1.0143899996942e-58,1.00193715321096e-142,16.357433808554,14.2886965376782,-2.06873727087576,16.6866436299645,1964,"REJECTED"
"4","acersacc",0.5,2.18276518407157e-45,5.76762448789487e-13,1.40264060029595e-218,15.300903774588,11.5162147793727,-3.78468899521531,11.3004848098566,1881,"REJECTED"
"5","betualle",0.5,0.121839532341514,6.33183277162888e-12,2.84828548511685e-21,8.56418918918919,7.72635135135135,-0.837837837837838,9.29045732690839,296,"REJECTED"
"6","betupapy",0.5,0.0298689194374365,3.45322834408575e-17,1.19406864051574e-33,11.0700636942675,9.84288747346072,-1.22717622080679,12.2256002893452,471,"REJECTED"
"7","carycord",0.5,0.027280947089626,5.57589749249606e-06,1.83808557798055e-16,10.7472527472527,9.26923076923077,-1.47802197802198,8.95951979521449,182,"REJECTED"
"8","caryovat",0.5,0.0731078508781917,2.29746819060106e-06,1.20745944765602e-14,8.11111111111111,6.88888888888889,-1.22222222222222,8.86286222376189,171,"REJECTED"
"9","fraxamer",0.5,8.15735757693623e-12,0.00573127710452518,3.5736257248019e-47,16.6585365853659,11.5257452574526,-5.13279132791328,13.9584489398672,369,"REJECTED"
"10","fraxnigr",0.5,5.16860176440746e-08,1.31365935726544e-13,2.90965059924524e-62,18.4739970282318,14.9851411589896,-3.4888558692422,16.4318653849252,673,"REJECTED"
"11","fraxpenn",0.5,2.01494931147768e-07,0.00506970844997308,3.73222900858864e-31,18.1785714285714,13.2539682539683,-4.92460317460317,14.6215972253236,252,"REJECTED"
"12","l_inconi",0.5,0.210046575890895,0.0510188426434321,8.19953782508815e-05,8.97142857142857,6.37142857142857,-2.6,12.0396404089354,35,"NOT REJECTED"
"13","l_inhard",0.5,0.198073762076445,0.147937580118273,0.000588271254247179,13.695652173913,10.4782608695652,-3.21739130434783,11.6266016364477,23,"NOT REJECTED"
"14","l_tohard",0.5,1.29081536194486e-06,0.651357142921118,1.39243330351094e-16,16.7065217391304,11.4239130434783,-5.28260869565217,9.770246475747,92,"NOT REJECTED"
"15","larilari",0.5,0.00424920256003917,9.25750578700256e-23,5.31984248935146e-07,13.3855421686747,16.8353413654618,3.44979919678715,18.8642885105138,249,"REJECTED"
"16","ostrvirg",0.5,3.66945649257123e-47,0.99756888685447,4.22812607077125e-117,33.6033434650456,22.3054711246201,-11.2978723404255,18.5164214838654,658,"NOT REJECTED"
"17","piceglau",0.5,1.33108216525636e-05,0.00423300234799716,1.92683122596693e-24,10.679802955665,7.7487684729064,-2.93103448275862,9.35309407236599,203,"REJECTED"
"18","picemari",0.5,1.3723960588666e-08,0.000865039619350516,1.6117479550506e-38,31.0866873065015,25.0402476780186,-6.04643962848297,18.6504544601493,323,"REJECTED"
"19","pinubank",0.5,0.00171631117439126,7.78274035253727e-05,3.14323727933585e-20,14.9393939393939,12.2575757575758,-2.68181818181818,11.870484350181,198,"REJECTED"
"20","pinuresi",0.5,0.95496419997657,5.12473937201933e-21,1.25778170044332e-20,8.25581395348837,8.27906976744186,0.0232558139534884,8.09573397186432,387,"REJECTED"
"21","pinustro",0.5,6.23517068945108e-11,8.72756480008255e-07,4.55156190330267e-58,18.3735849056604,13.211320754717,-5.1622641509434,17.8028504590404,530,"REJECTED"
"22","popugran",0.5,0.000935814374281681,3.87643965470575e-09,1.85400709601409e-30,27.2536443148688,22.7463556851312,-4.50728862973761,25.0057146555341,343,"REJECTED"
"23","poputrem",0.5,2.1328269726257e-52,0.17558872358418,5.56418777012901e-169,44.8107638888889,25.6649305555556,-19.1458333333333,40.5185276881103,1152,"NOT REJECTED"
"24","prunsero",0.5,4.5871944316288e-26,0.209017355207509,1.31892431312055e-83,16.5193661971831,10.2746478873239,-6.24471830985915,13.4008202225297,568,"NOT REJECTED"
"25","queralba",0.5,0.635261993350027,5.69906736674114e-22,9.74026255103387e-19,4.31034482758621,4.50132625994695,0.190981432360743,7.81131362683525,377,"REJECTED"
"26","querelli",0.5,1.21712642601917e-06,0.000207390802155213,8.20820114797503e-33,19.3024054982818,14.0068728522337,-5.29553264604811,18.2220578905631,291,"REJECTED"
"27","quermacr",0.5,0.0153735875839978,0.000180589576119447,6.85612012870923e-15,9.3758389261745,7.79194630872483,-1.58389261744966,7.88524166379821,149,"REJECTED"
"28","querrubr",0.5,0.106256071226349,6.90262359478806e-22,5.73260946978484e-35,8.26070763500931,7.6852886405959,-0.575418994413408,8.24136766049993,537,"REJECTED"
"29","quervelu",0.5,0.0029908822300869,0.000270939158869861,7.12583565122634e-18,10.3625730994152,7.9766081871345,-2.3859649122807,10.3584368329537,171,"REJECTED"
"30","s_inhard",0.5,6.38837095398536e-12,0.842806081337434,1.54498974754211e-29,33.0609756097561,20.2682926829268,-12.7926829268293,22.1019599413387,164,"NOT REJECTED"
