"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,6.84443647912602e-09,1.92835197907386e-27,4.16210677956711e-95,10.5320720506455,9.92740515736621,-0.604666893279261,3.50271522857332,1144,"REJECTED"
"2","acernegu",0.5,0.171179902839949,6.84683421604517e-13,9.38409597335696e-07,15.8594357902971,16.7450140789863,0.885578288689212,8.14893073922399,160,"REJECTED"
"3","acerrubr",0.5,4.13180597388938e-21,1.82040077899154e-35,1.02915227353827e-178,17.4431432781306,16.3717084346073,-1.07143484352333,4.97815667924792,1964,"REJECTED"
"4","acersacc",0.5,0.00451306958635728,8.37601524333579e-116,5.57369098781439e-73,17.9058605493445,18.3323929830495,0.426532433705017,6.50613225398591,1881,"REJECTED"
"5","betualle",0.5,0.0397632401686644,1.37818248959788e-10,5.50310863411352e-23,20.5497235181829,19.7812594486554,-0.768464069527521,6.40141337269043,296,"REJECTED"
"6","betupapy",0.5,3.37975002208191e-18,0.03736074744963,9.58217680846676e-65,18.1170471989042,16.1195161186024,-1.99753108030186,4.78222478887166,471,"REJECTED"
"7","carycord",0.5,0.0530756738333288,1.04711405812121e-15,1.66730932092544e-06,16.0597749969519,17.3828199478786,1.32304495092665,9.16710340503079,182,"REJECTED"
"8","caryovat",0.5,8.18509841577492e-05,0.00665318722853002,1.04976402423398e-20,20.2987754194769,18.4382833506697,-1.86049206880722,6.02700814413727,171,"REJECTED"
"9","fraxamer",0.5,0.17358603302264,1.51587060156088e-15,1.0379021995586e-24,17.9755606268241,17.495600712875,-0.479959913949069,6.76224441533033,369,"REJECTED"
"10","fraxnigr",0.5,9.44905735111644e-07,2.31269343491504e-15,2.71496205353915e-59,15.0509444387796,14.2674370109872,-0.783507427792429,4.10723150130873,673,"REJECTED"
"11","fraxpenn",0.5,0.139793138031457,2.75944487019744e-10,1.55852178401193e-18,14.7333493258034,14.0946804185941,-0.638668907209241,6.84457537909949,252,"REJECTED"
"12","l_inconi",0.5,3.6008093714106e-05,0.959084307600124,2.88481216868673e-09,21.6180000270184,18.2713287301587,-3.34667129685963,4.16710796946483,35,"NOT REJECTED"
"13","l_inhard",0.5,0.719680537661133,0.0270709774014699,0.00569410446526307,21.1216035530622,20.6823387072871,-0.439264845775101,5.79498871969153,23,"REJECTED"
"14","l_tohard",0.5,0.40244326076036,7.57382707347766e-05,9.61433065457524e-08,15.3206555550671,14.9281312974038,-0.392524257663258,4.47572383119549,92,"REJECTED"
"15","larilari",0.5,1.68519601345065e-16,0.831203536420074,6.60346744650831e-43,18.6295003011353,15.6139754254188,-3.01552487571643,5.3763436402006,249,"NOT REJECTED"
"16","ostrvirg",0.5,4.13994748879204e-10,8.96610669661597e-11,1.06479150854811e-65,7.50445278658197,6.3987768467595,-1.10567593982248,4.46992429168214,658,"REJECTED"
"17","piceglau",0.5,1.87553524006662e-05,0.00334483503998943,3.40452605432737e-24,21.9019471908227,19.4144418393943,-2.48750535142835,8.08487272257706,203,"REJECTED"
"18","picemari",0.5,2.77699722423054e-17,0.487608655342553,1.10329745652486e-50,13.4446838267378,11.2325352962641,-2.21214853047373,4.43965715584829,323,"NOT REJECTED"
"19","pinubank",0.5,0.00167046225921183,2.9732541658523e-20,8.03034083710658e-05,15.9257606842705,17.1542487861198,1.22848810184932,5.42356418624646,198,"REJECTED"
"20","pinuresi",0.5,0.00148253570426464,9.52083430224925e-33,5.49702035297856e-11,26.6028274414697,27.6813945938307,1.07856715236099,6.6283625613123,387,"REJECTED"
"21","pinustro",0.5,0.994311248425083,7.58707502844583e-28,8.66026187201656e-28,23.3006146522779,23.3026233368253,0.0020086845473931,6.48281805738994,530,"REJECTED"
"22","popugran",0.5,2.99214828636714e-11,0.00875741702443576,3.07630939948794e-44,17.3100148682988,14.868822376175,-2.44119249212381,6.57830715103798,343,"REJECTED"
"23","poputrem",0.5,1.17453152726948e-63,5.20015792283065e-183,0.833941441436684,12.5596573032855,15.9309441236734,3.37128682038787,6.37792503285775,1152,"NOT REJECTED"
"24","prunsero",0.5,0.349428035218609,1.1578398929494e-33,7.27815572062103e-26,13.4894514453659,13.6794820970938,0.19003065172785,4.83617756688465,568,"REJECTED"
"25","queralba",0.5,4.07089463716871e-26,3.65428298702732e-66,0.955706341261884,20.1677898825313,27.6452774715558,7.47748758902452,12.718293541811,377,"NOT REJECTED"
"26","querelli",0.5,0.00492575058132919,1.50616522090591e-08,2.69690927612872e-25,17.8599536054319,16.9661376262477,-0.893815979184151,5.38092559479265,291,"REJECTED"
"27","quermacr",0.5,0.119852793205935,1.07335699122961e-12,5.81349526701017e-06,21.9556635840696,24.0483216049159,2.09265802084634,16.3281057384602,149,"REJECTED"
"28","querrubr",0.5,7.88801526742142e-07,5.2856110142872e-11,1.83927029217924e-50,27.2520570311415,25.8386100992649,-1.41344693187666,6.55451490648694,537,"REJECTED"
"29","quervelu",0.5,1.59850603755044e-06,0.0597272013633659,2.42728738935489e-23,26.531591662995,24.2138636045026,-2.3177280584924,6.09406680849099,171,"NOT REJECTED"
"30","s_inhard",0.5,3.77266107312584e-06,3.14402585164329e-22,0.0540100229522869,5.19668188110196,7.51999659868454,2.32331471758258,6.21525095744078,164,"NOT REJECTED"
"31","s_tohard",0.5,0.0509138802051228,0.00296825236345641,6.02901917102133e-10,7.07214435056524,6.28574076086957,-0.786403589695674,3.81273845818854,92,"REJECTED"
"32","thujocci",0.5,4.64070822348931e-05,1.27956849256532e-07,4.59852818053983e-34,22.8868068541939,21.7240735114003,-1.16273334279356,5.28892601311672,352,"REJECTED"
"33","tiliamer",0.5,4.41568330811655e-10,3.30498435283994e-10,4.25406771926182e-64,24.8612680454651,23.028514596107,-1.83275344935806,7.29261154786683,636,"REJECTED"
"34","tsugcana",0.5,1.54446353157091e-15,4.33877739286953e-44,0.576411601337125,24.5462594094417,30.4165013188122,5.8702419093705,11.473073607781,274,"NOT REJECTED"
"35","ulmuamer",0.5,0.00404244328165819,2.96910356612459e-19,1.82439884017343e-43,16.6985547920178,15.4057524566352,-1.29280233538261,10.8335917919188,585,"REJECTED"
